gene_id	FLT_cluster_14_liver_secreted	FLT_cluster_3_mixed_stress	GC_cluster_1_DE_enriched	FLT3_GC1_overlap	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000025488	False	False	True	False	Cox8b	2.0	2.62934119437229	0.498331979539189	5.27628428904696	1.31829525035249e-07	2.0	0.0	6.20633738362184	83.8874373372137	0.01272937373818	1.74218612150241e-05	True	True	all_up
ENSMUSG00000072720	False	False	True	False	Myo18b	3.0	1.12613565666189	0.218464018876565	5.15478778818113	2.53918318766374e-07	3.0	0.0	35.6934817593413	94.3967360385721	1.77524752566124e-08	2.99090019677349e-05	True	True	all_up
ENSMUSG00000009246	False	True	True	True	Trpm5	2.0	1.75390957634835	0.340614414847381	5.14925235073866	2.6152682614776e-07	1.0	1.0	11.7227077795375	91.4695476607756	0.0006174205146636	3.05835867556248e-05	True	True	mixed
ENSMUSG00000020061	False	False	True	False	Mybpc1	2.0	2.86592708117263	0.573214766278493	4.99974398737006	5.74064869120247e-07	1.0	1.0	22.6644111826415	95.5877962505115	1.92907915326016e-06	5.62134002864435e-05	True	True	mixed
ENSMUSG00000027861	False	False	True	False	Casq2	2.0	2.10829313596408	0.424957992334298	4.9611801024925	7.00661876575003e-07	2.0	0.0	6.94775213081876	85.606855553119	0.0083924622004983	6.64421890183855e-05	True	True	all_up
ENSMUSG00000027022	False	False	True	False	Xirp2	2.0	2.18667672631543	0.456379353891437	4.79135768888353	1.65656499051668e-06	2.0	0.0	23.0699835452676	95.6653631848596	1.56210428831732e-06	0.0001307158442759	True	True	all_up
ENSMUSG00000092300	False	True	True	True	Cdk3	2.0	-1.52761354879286	0.337799220274498	-4.52225303407011	6.1184855045426e-06	0.0	2.0	13.6328676780577	92.6647861358655	0.0002222601428078	0.0003697248396889	True	True	all_down
ENSMUSG00000030732	False	False	True	False	Chrdl2	2.0	1.02895000383263	0.230580134361376	4.46243995252431	8.10316399425091e-06	2.0	0.0	0.748142153534807	0.0	0.387065074149077	0.0004650526782271	True	True	all_up
ENSMUSG00000040666	False	False	True	False	Sh3bgr	2.0	1.65139524327457	0.37777869596215	4.37132972537983	1.23492136787512e-05	2.0	0.0	9.69455887906247	89.684935514088	0.0018481444382338	0.0006292679258561	True	True	all_up
ENSMUSG00000025746	False	True	True	True	Il6	2.0	-1.36367036575995	0.32890243585207	-4.14612425179267	3.38150374639617e-05	0.0	2.0	0.0185343565900096	0.0	0.891709860325359	0.0013373806179481	True	True	all_down
ENSMUSG00000038239	False	False	True	False	Hrc	3.0	1.03895896048115	0.253105875766407	4.10483935758177	4.04595934434404e-05	3.0	0.0	26.933134288959	92.5742025471581	1.41756897278411e-06	0.0015118866469497	True	True	all_up
ENSMUSG00000018924	False	False	True	False	Alox15	2.0	1.1394577840419	0.290509287548146	3.92227661173504	8.77162067304287e-05	2.0	0.0	0.0040452187177583	0.0	0.949287112195734	0.0025971346819728	True	True	all_up
ENSMUSG00000015957	False	True	False	False	Wnt11	3.0	1.4938819636059	0.384682022108909	3.88342027375265	0.0001029973140623	3.0	0.0	2.23197405301211	10.393223554685	0.327591777506062	0.0029320864099529	True	True	all_up
ENSMUSG00000032487	False	True	True	True	Ptgs2	2.0	-1.54018988695991	0.420128586164027	-3.66599640605884	0.0002463773846528	0.0	2.0	5.18794749875619	80.7245543591227	0.0227440623754456	0.0056726124469286	True	True	all_down
ENSMUSG00000058427	False	True	True	True	Cxcl2	2.0	-1.14649471832491	0.31847428335988	-3.59996011680905	0.0003182659930222	0.0	2.0	4.98832917493022	79.9532074782537	0.0255188376143118	0.0067538038075416	True	True	all_down
ENSMUSG00000000308	False	False	True	False	Ckmt1	2.0	1.1595051273928	0.340873562456679	3.40156954102347	0.0006700007983045	2.0	0.0	0.3318570729982	0.0	0.564567616949957	0.0115003832908551	True	True	all_up
ENSMUSG00000060311	False	True	True	True	Mucl1	2.0	2.54320099535402	0.82785729016036	3.07202826571883	0.0021260959151632	2.0	0.0	1.88000177790621	46.8085609411649	0.170333945667082	0.0258486829476278	True	True	all_up
ENSMUSG00000057729	False	True	True	True	Prtn3	2.0	-1.15559729993344	0.388537707454989	-2.97422174929395	0.0029373272031418	1.0	1.0	14.3899283329184	93.0506950634882	0.0001485949574991	0.033019539202677	True	True	mixed
ENSMUSG00000021732	False	True	True	True	Fgf10	2.0	1.33405763339472	0.461913948452616	2.88810857057625	0.0038756607188786	2.0	0.0	0.89239085496032	0.0	0.344830230291009	0.0398726993578306	True	True	all_up
ENSMUSG00000085014	False	True	True	True	Gm13490	2.0	1.10332959263831	0.387197847187799	2.8495240886584	0.0043784690031964	2.0	0.0	0.0024911432062387	0.0	0.96019302981225	0.0435122879760216	True	True	all_up
ENSMUSG00000020067	False	True	True	True	Mypn	2.0	1.0977558317859	0.393873780090082	2.78707516792519	0.0053186140438899	1.0	1.0	31.1684741847944	96.791629920441	2.36577108637779e-08	0.0493741126690065	True	True	mixed
ENSMUSG00000031125	False	True	True	True	3830403N18Rik	3.0	-1.04411958407509	0.375187177798401	-2.78292981706355	0.0053870457840304	1.0	2.0	2.44619614964804	18.2404076513748	0.294316937134123	0.0498102555286775	True	True	mixed
