gene_id	gene_label
ENSMUSG00000017404	Rpl19
ENSMUSG00000017716	Birc5
ENSMUSG00000017774	Myo1c
ENSMUSG00000017776	Crk
ENSMUSG00000017778	Cox7c
ENSMUSG00000017817	Jph2
ENSMUSG00000017861	Mybl2
ENSMUSG00000017969	Ptgis
ENSMUSG00000018217	Pmp22
ENSMUSG00000018293	Pfn1
ENSMUSG00000018381	Abi3
ENSMUSG00000018387	Shroom1
ENSMUSG00000018395	Kif3a
ENSMUSG00000018411	Mapt
ENSMUSG00000018500	Adora2b
ENSMUSG00000018547	Pip4k2b
ENSMUSG00000018548	Trim37
ENSMUSG00000018736	Ndel1
ENSMUSG00000018830	Myh11
ENSMUSG00000018893	Mb
ENSMUSG00000018899	Irf1
ENSMUSG00000018909	Arrb1
ENSMUSG00000018932	Map2k3
ENSMUSG00000019027	Dnah1
ENSMUSG00000019194	Scn1b
ENSMUSG00000019261	Map1s
ENSMUSG00000019301	Hsd17b1
ENSMUSG00000019432	Ddx39b
ENSMUSG00000019768	Esr1
ENSMUSG00000019773	Fbxo5
ENSMUSG00000019787	Trdn
ENSMUSG00000019823	Mical1
ENSMUSG00000019917	Septin10
ENSMUSG00000019942	Cdk1
ENSMUSG00000019944	Rhobtb1
ENSMUSG00000020024	Cep83
ENSMUSG00000020044	Timp3
ENSMUSG00000020053	Igf1
ENSMUSG00000020061	Mybpc1
ENSMUSG00000020067	Mypn
ENSMUSG00000020081	Tacr2
ENSMUSG00000020128	Vps54
ENSMUSG00000020135	Apc2
ENSMUSG00000020152	Actr2
ENSMUSG00000020170	Frs2
ENSMUSG00000020173	Cobl
ENSMUSG00000020186	Csrp2
ENSMUSG00000020319	Wdpcp
ENSMUSG00000020340	Cyfip2
ENSMUSG00000020354	Sgcd
ENSMUSG00000020388	Pdlim4
ENSMUSG00000020437	Myo1g
ENSMUSG00000020469	Myl7
ENSMUSG00000020475	Pgam2
ENSMUSG00000020476	Dbnl
ENSMUSG00000020527	Myo19
ENSMUSG00000020542	Myocd
ENSMUSG00000020580	Rock2
ENSMUSG00000020612	Prkar1a
ENSMUSG00000020635	Fkbp1b
ENSMUSG00000020676	Ccl11
ENSMUSG00000020681	Ace
ENSMUSG00000020715	Ern1
ENSMUSG00000020716	Nf1
ENSMUSG00000020717	Pecam1
ENSMUSG00000020723	Cacng4
ENSMUSG00000020745	Pafah1b1
ENSMUSG00000020782	Llgl2
ENSMUSG00000020787	P2rx1
ENSMUSG00000020827	Mink1
ENSMUSG00000020836	Coro6
ENSMUSG00000020866	Cacna1g
ENSMUSG00000020878	Lrrc46
ENSMUSG00000020882	Cacnb1
ENSMUSG00000020900	Myh10
ENSMUSG00000020911	Krt19
ENSMUSG00000020919	Stat5b
ENSMUSG00000021061	Sptb
ENSMUSG00000021070	Bdkrb2
ENSMUSG00000021118	Plek2
ENSMUSG00000021125	Arg2
ENSMUSG00000021182	Ccdc88c
ENSMUSG00000021194	Chga
ENSMUSG00000021200	Asb2
ENSMUSG00000021217	Tshz3
ENSMUSG00000021250	Fos
ENSMUSG00000021253	Tgfb3
ENSMUSG00000021262	Evl
ENSMUSG00000021264	Yy1
ENSMUSG00000021270	Hsp90aa1
ENSMUSG00000021279	Cdc42bpb
ENSMUSG00000021326	Trim27
ENSMUSG00000021338	Carmil1
ENSMUSG00000021357	Exoc2
ENSMUSG00000021367	Edn1
ENSMUSG00000021373	Cap2
ENSMUSG00000021493	Pdlim7
ENSMUSG00000021520	Uqcrb
ENSMUSG00000021536	Adcy2
ENSMUSG00000021572	Cep72
ENSMUSG00000021573	Tppp
ENSMUSG00000021606	Ndufs6
ENSMUSG00000021614	Vcan
ENSMUSG00000021750	Fam107a
ENSMUSG00000021754	Map3k1
ENSMUSG00000021796	Bmpr1a
ENSMUSG00000021798	Ldb3
ENSMUSG00000021822	Plau
ENSMUSG00000021823	Vcl
ENSMUSG00000021835	Bmp4
ENSMUSG00000021910	Nisch
ENSMUSG00000021948	Prkcd
ENSMUSG00000021974	Fgf9
ENSMUSG00000021990	Spata13
ENSMUSG00000021998	Lcp1
ENSMUSG00000022016	Akap11
ENSMUSG00000022021	Diaph3
ENSMUSG00000022064	Pibf1
ENSMUSG00000022090	Pdlim2
ENSMUSG00000022091	Sorbs3
ENSMUSG00000022114	Spry2
ENSMUSG00000022272	Myo10
ENSMUSG00000022329	Stk3
ENSMUSG00000022340	Sybu
ENSMUSG00000022346	Myc
ENSMUSG00000022350	Washc5
ENSMUSG00000022353	Mtss1
ENSMUSG00000022371	Col14a1
ENSMUSG00000022382	Wnt7b
ENSMUSG00000022383	Ppara
ENSMUSG00000022388	Ttll8
ENSMUSG00000022436	Sh3bp1
ENSMUSG00000022438	Parvb
ENSMUSG00000022443	Myh9
ENSMUSG00000022451	Twf1
ENSMUSG00000022469	Rapgef3
ENSMUSG00000022488	Nckap1l
ENSMUSG00000022503	Nubp1
ENSMUSG00000022548	Apod
ENSMUSG00000022565	Plec
ENSMUSG00000022623	Shank3
ENSMUSG00000022629	Kif21a
ENSMUSG00000022687	Boc
ENSMUSG00000022752	Tomm70a
ENSMUSG00000022770	Dlg1
ENSMUSG00000022781	Pak2
ENSMUSG00000022803	Popdc2
ENSMUSG00000022812	Gsk3b
ENSMUSG00000022817	Itgb5
ENSMUSG00000022831	Hcls1
ENSMUSG00000022836	Mylk
ENSMUSG00000022865	Cxadr
ENSMUSG00000022878	Adipoq
ENSMUSG00000022982	Sod1
ENSMUSG00000022995	Enah
ENSMUSG00000023009	Nckap5l
ENSMUSG00000023015	Racgap1
ENSMUSG00000023022	Lima1
ENSMUSG00000023046	Igfbp6
ENSMUSG00000023067	Cdkn1a
ENSMUSG00000023249	Parp3
ENSMUSG00000023277	Twf2
ENSMUSG00000023411	Nfatc4
ENSMUSG00000023951	Vegfa
ENSMUSG00000023966	Rsph9
ENSMUSG00000023972	Ptk7
ENSMUSG00000024042	Sik1
ENSMUSG00000024049	Myom1
ENSMUSG00000024056	Ndc80
ENSMUSG00000024059	Clip4
ENSMUSG00000024065	Ehd3
ENSMUSG00000024068	Spast
ENSMUSG00000024087	Cyp1b1
ENSMUSG00000024104	Washc2
ENSMUSG00000024112	Cacna1h
ENSMUSG00000024122	Pdpk1
ENSMUSG00000024142	Mlst8
ENSMUSG00000024176	Sox8
ENSMUSG00000024236	Svil
ENSMUSG00000024241	Sos1
ENSMUSG00000024277	Mapre2
ENSMUSG00000024290	Rock1
ENSMUSG00000024300	Myo1f
ENSMUSG00000024301	Kifc5b
ENSMUSG00000024302	Dtna
ENSMUSG00000024330	Col11a2
ENSMUSG00000024331	Dsc2
ENSMUSG00000024346	Pfdn1
ENSMUSG00000024376	Epb41l4a
ENSMUSG00000024381	Bin1
ENSMUSG00000024397	Aif1
ENSMUSG00000024426	Atat1
ENSMUSG00000024431	Nr3c1
ENSMUSG00000024451	Arap3
ENSMUSG00000024454	Hdac3
ENSMUSG00000024456	Diaph1
ENSMUSG00000024471	Myot
ENSMUSG00000024501	Dpysl3
ENSMUSG00000024515	Smad4
ENSMUSG00000024542	Cep192
ENSMUSG00000024589	Nedd4l
ENSMUSG00000024617	Camk2a
ENSMUSG00000024620	Pdgfrb
ENSMUSG00000024621	Csf1r
ENSMUSG00000024660	Incenp
ENSMUSG00000024803	Ankrd1
ENSMUSG00000024835	Coro1b
ENSMUSG00000024856	Cdk2ap2
ENSMUSG00000024862	Klc2
ENSMUSG00000024909	Efemp2
ENSMUSG00000024927	Rela
ENSMUSG00000024936	Kcnk7
ENSMUSG00000024937	Ehbp1l1
ENSMUSG00000024942	Capn1
ENSMUSG00000024944	Arl2
ENSMUSG00000024975	Pdcd4
ENSMUSG00000025006	Sorbs1
ENSMUSG00000025026	Add3
ENSMUSG00000025145	Lrrc45
ENSMUSG00000025147	Mob2
ENSMUSG00000025172	Ankrd2
ENSMUSG00000025188	Hps1
ENSMUSG00000025219	Fgf8
ENSMUSG00000025235	Bbs4
ENSMUSG00000025265	Fgd1
ENSMUSG00000025278	Flnb
ENSMUSG00000025372	Baiap2
ENSMUSG00000025417	Pip4k2c
ENSMUSG00000025422	Agap2
ENSMUSG00000025488	Cox8b
ENSMUSG00000025499	Hras
ENSMUSG00000025508	Rplp2
ENSMUSG00000025555	Farp1
ENSMUSG00000025579	Gaa
ENSMUSG00000025609	Mkln1
ENSMUSG00000025794	Rpl14
ENSMUSG00000025810	Nrp1
ENSMUSG00000025812	Pard3
ENSMUSG00000025856	Pdgfa
ENSMUSG00000025885	Myo5b
ENSMUSG00000025949	Pikfyve
ENSMUSG00000026031	Cflar
ENSMUSG00000026131	Dst
ENSMUSG00000026141	Col19a1
ENSMUSG00000026181	Ppm1f
ENSMUSG00000026185	Igfbp5
ENSMUSG00000026211	Obsl1
ENSMUSG00000026251	Chrnd
ENSMUSG00000026253	Chrng
ENSMUSG00000026259	Ngef
ENSMUSG00000026270	Capn10
ENSMUSG00000026276	Septin2
ENSMUSG00000026317	Cln8
ENSMUSG00000026341	Actr3
ENSMUSG00000026407	Cacna1s
ENSMUSG00000026414	Tnnt2
ENSMUSG00000026418	Tnni1
ENSMUSG00000026421	Csrp1
ENSMUSG00000026426	Arl8a
ENSMUSG00000026478	Lamc1
ENSMUSG00000026496	Parp1
ENSMUSG00000026556	Vangl2
ENSMUSG00000026567	Adcy10
ENSMUSG00000026622	Nek2
ENSMUSG00000026683	Nuf2
ENSMUSG00000026697	Myoc
ENSMUSG00000026761	Orc4
ENSMUSG00000026778	Prkcq
ENSMUSG00000026812	Tsc1
ENSMUSG00000026842	Abl1
ENSMUSG00000026879	Gsn
ENSMUSG00000026923	Notch1
ENSMUSG00000026930	Gpsm1
ENSMUSG00000026966	Ssna1
ENSMUSG00000026976	Pax8
ENSMUSG00000027002	Nckap1
ENSMUSG00000027022	Xirp2
ENSMUSG00000027077	Smtnl1
ENSMUSG00000027087	Itgav
ENSMUSG00000027104	Atf2
ENSMUSG00000027107	Chrna1
ENSMUSG00000027115	Kif18a
ENSMUSG00000027168	Pax6
ENSMUSG00000027199	Gatm
ENSMUSG00000027208	Fgf7
ENSMUSG00000027253	Lrp4
ENSMUSG00000027254	Map1a
ENSMUSG00000027296	Itpka
ENSMUSG00000027301	Oxt
ENSMUSG00000027306	Nusap1
ENSMUSG00000027329	Spef1
ENSMUSG00000027331	Knstrn
ENSMUSG00000027347	Rasgrp1
ENSMUSG00000027365	Trpm7
ENSMUSG00000027469	Tpx2
ENSMUSG00000027470	Mylk2
ENSMUSG00000027540	Ptpn1
ENSMUSG00000027559	Car3
ENSMUSG00000027624	Epb41l1
ENSMUSG00000027635	Dsn1
ENSMUSG00000027646	Src
ENSMUSG00000027665	Pik3ca
ENSMUSG00000027676	Ccdc39
ENSMUSG00000027861	Casq2
ENSMUSG00000027887	Sypl2
ENSMUSG00000027907	S100a11
ENSMUSG00000027935	Rab13
ENSMUSG00000027940	Tpm3
ENSMUSG00000027944	Hax1
ENSMUSG00000027994	Mcub
ENSMUSG00000027995	Tlr2
ENSMUSG00000028047	Thbs3
ENSMUSG00000028063	Lmna
ENSMUSG00000028068	Iqgap3
ENSMUSG00000028116	Myoz2
ENSMUSG00000028128	F3
ENSMUSG00000028149	Rap1gds1
ENSMUSG00000028161	Ppp3ca
ENSMUSG00000028163	Nfkb1
ENSMUSG00000028273	Pdlim5
ENSMUSG00000028328	Tmod1
ENSMUSG00000028337	Coro2a
ENSMUSG00000028348	Cavin4
ENSMUSG00000028354	Fmn2
ENSMUSG00000028416	Bag1
ENSMUSG00000028419	Chmp5
ENSMUSG00000028434	Epb41l4b
ENSMUSG00000028458	Tesk1
ENSMUSG00000028465	Tln1
ENSMUSG00000028467	Gba2
ENSMUSG00000028583	Pdpn
ENSMUSG00000028599	Tnfrsf1b
ENSMUSG00000028656	Cap1
ENSMUSG00000028678	Kif2c
ENSMUSG00000028745	Capzb
ENSMUSG00000028834	Trim63
ENSMUSG00000028868	Wasf2
ENSMUSG00000028873	Cdca8
ENSMUSG00000028874	Fgr
ENSMUSG00000028896	Rcc1
ENSMUSG00000028906	Epb41
ENSMUSG00000028919	Arhgef19
ENSMUSG00000028962	Slc4a2
ENSMUSG00000028991	Mtor
ENSMUSG00000029020	Mfn2
ENSMUSG00000029033	Acap3
ENSMUSG00000029071	Dvl1
ENSMUSG00000029082	Bst1
ENSMUSG00000029106	Add1
ENSMUSG00000029110	Rnf4
ENSMUSG00000029156	Sgcb
ENSMUSG00000029166	Mapre3
ENSMUSG00000029231	Pdgfra
ENSMUSG00000029361	Nos1
ENSMUSG00000029430	Ran
ENSMUSG00000029465	Arpc3
ENSMUSG00000029467	Atp2a2
ENSMUSG00000029468	P2rx7
ENSMUSG00000029469	Ift81
ENSMUSG00000029516	Cit
ENSMUSG00000029521	Chek2
ENSMUSG00000029528	Pxn
ENSMUSG00000029581	Fscn1
ENSMUSG00000029614	Rpl6
ENSMUSG00000029622	Arpc1b
ENSMUSG00000029656	C8b
ENSMUSG00000029657	Hsph1
ENSMUSG00000029674	Limk1
ENSMUSG00000029675	Eln
ENSMUSG00000029684	Wasl
ENSMUSG00000029725	Ppp1r35
ENSMUSG00000029761	Cald1
ENSMUSG00000029763	Exoc4
ENSMUSG00000029840	Mtpn
ENSMUSG00000029859	Epha1
ENSMUSG00000029860	Zyx
ENSMUSG00000029862	Clcn1
ENSMUSG00000029866	Kel
ENSMUSG00000030043	Tacr1
ENSMUSG00000030047	Arhgap25
ENSMUSG00000030067	Foxp1
ENSMUSG00000030087	Klf15
ENSMUSG00000030098	Grip2
ENSMUSG00000030137	Tuba8
ENSMUSG00000030201	Lrp6
ENSMUSG00000030228	Pik3c2g
ENSMUSG00000030249	Abcc9
ENSMUSG00000030272	Camk1
ENSMUSG00000030323	Ift122
ENSMUSG00000030357	Fkbp4
ENSMUSG00000030399	Ckm
ENSMUSG00000030403	Vasp
ENSMUSG00000030432	Rpl28
ENSMUSG00000030447	Cyfip1
ENSMUSG00000030470	Csrp3
ENSMUSG00000030516	Tjp1
ENSMUSG00000030536	Iqgap1
ENSMUSG00000030538	Cib1
ENSMUSG00000030592	Ryr1
ENSMUSG00000030660	Pik3c2a
ENSMUSG00000030672	Mylpf
ENSMUSG00000030685	Kctd13
ENSMUSG00000030695	Aldoa
ENSMUSG00000030707	Coro1a
ENSMUSG00000030708	Dnajb13
ENSMUSG00000030717	Nupr1
ENSMUSG00000030720	Cln3
ENSMUSG00000030730	Atp2a1
ENSMUSG00000030739	Myh14
ENSMUSG00000030744	Rps3
ENSMUSG00000030761	Myo7a
ENSMUSG00000030770	Parva
ENSMUSG00000030774	Pak1
ENSMUSG00000030785	Cox6a2
ENSMUSG00000030790	Adm
ENSMUSG00000030867	Plk1
ENSMUSG00000030881	Arfip2
ENSMUSG00000030884	Uqcrc2
ENSMUSG00000030890	Ilk
ENSMUSG00000031060	Rbm10
ENSMUSG00000031068	Glrx3
ENSMUSG00000031078	Cttn
ENSMUSG00000031097	Tnni2
ENSMUSG00000031137	Fgf13
ENSMUSG00000031142	Cacna1f
ENSMUSG00000031150	Ccdc120
ENSMUSG00000031161	Hdac6
ENSMUSG00000031165	Was
ENSMUSG00000031216	Stard8
ENSMUSG00000031231	Cox7b
ENSMUSG00000031273	Col4a6
ENSMUSG00000031328	Flna
ENSMUSG00000031342	Gpm6b
ENSMUSG00000031392	Irak1
ENSMUSG00000031441	Atp11a
ENSMUSG00000031461	Myom2
ENSMUSG00000031489	Adrb3
ENSMUSG00000031511	Arhgef7
ENSMUSG00000031523	Dlc1
ENSMUSG00000031539	Ap3m2
ENSMUSG00000031548	Sfrp1
ENSMUSG00000031586	Rbpms
ENSMUSG00000031626	Sorbs2
ENSMUSG00000031636	Pdlim3
ENSMUSG00000031691	Tnpo2
ENSMUSG00000031698	Mylk3
ENSMUSG00000031729	Ist1
ENSMUSG00000031734	Irx3
ENSMUSG00000031818	Cox4i1
ENSMUSG00000031827	Cotl1
ENSMUSG00000031834	Pik3r2
ENSMUSG00000031865	Dctn1
ENSMUSG00000031871	Cdh5
ENSMUSG00000031902	Nfatc3
ENSMUSG00000031913	Vps4a
ENSMUSG00000031921	Terf2
ENSMUSG00000031955	Bcar1
ENSMUSG00000031972	Acta1
ENSMUSG00000031980	Agt
ENSMUSG00000032186	Tmod2
ENSMUSG00000032194	Kank2
ENSMUSG00000032218	Ccnb2
ENSMUSG00000032220	Myo1e
ENSMUSG00000032221	Mns1
ENSMUSG00000032232	Cgnl1
ENSMUSG00000032243	Itga11
ENSMUSG00000032254	Kif23
ENSMUSG00000032312	Csk
ENSMUSG00000032330	Cox7a2
ENSMUSG00000032355	Mlip
ENSMUSG00000032366	Tpm1
ENSMUSG00000032387	Rbpms2
ENSMUSG00000032399	Rpl4
ENSMUSG00000032402	Smad3
ENSMUSG00000032419	Tbx18
ENSMUSG00000032446	Eomes
ENSMUSG00000032487	Ptgs2
ENSMUSG00000032504	Pdcd6ip
ENSMUSG00000032531	Amotl2
ENSMUSG00000032534	Cep63
ENSMUSG00000032537	Ephb1
ENSMUSG00000032562	Gnai2
ENSMUSG00000032570	Atp2c1
ENSMUSG00000032571	Pik3r4
ENSMUSG00000032572	Col6a4
ENSMUSG00000032624	Eml4
ENSMUSG00000032643	Fhl3
ENSMUSG00000032702	Kank1
ENSMUSG00000032714	Syde1
ENSMUSG00000032737	Inppl1
ENSMUSG00000032754	Slc8b1
ENSMUSG00000032796	Lama1
ENSMUSG00000032812	Arap1
ENSMUSG00000032845	Alpk2
ENSMUSG00000032892	Rangrf
ENSMUSG00000033004	Mycbp2
ENSMUSG00000033066	Gas7
ENSMUSG00000033088	Triobp
ENSMUSG00000033149	Phldb2
ENSMUSG00000033161	Atp1a1
ENSMUSG00000033196	Myh2
ENSMUSG00000033208	S100b
ENSMUSG00000033220	Rac2
ENSMUSG00000033276	Stk36
ENSMUSG00000033335	Dnm2
ENSMUSG00000033352	Map2k4
ENSMUSG00000033389	Arhgap44
ENSMUSG00000033420	Antxr1
ENSMUSG00000033436	Armcx2
ENSMUSG00000033444	Specc1l
ENSMUSG00000033542	Arhgef5
ENSMUSG00000033577	Myo6
ENSMUSG00000033628	Pik3c3
ENSMUSG00000033717	Adra2a
ENSMUSG00000033862	Cdk10
ENSMUSG00000033900	Map9
ENSMUSG00000033940	Brk1
ENSMUSG00000033952	Aspm
ENSMUSG00000033987	Dnah17
ENSMUSG00000033998	Kcnk1
ENSMUSG00000034066	Farp2
ENSMUSG00000034152	Exoc3
ENSMUSG00000034161	Scx
ENSMUSG00000034190	Chmp7
ENSMUSG00000034201	Gas2l1
ENSMUSG00000034295	Fhod3
ENSMUSG00000034311	Kif4
ENSMUSG00000034354	Mtmr3
ENSMUSG00000034460	Six4
ENSMUSG00000034574	Daam1
ENSMUSG00000034593	Myo5a
ENSMUSG00000034607	Pof1b
ENSMUSG00000034616	Ssh3
ENSMUSG00000034675	Dbn1
ENSMUSG00000034758	Tle6
ENSMUSG00000034868	Myl12b
ENSMUSG00000034902	Pip5k1c
ENSMUSG00000034974	Dapk3
ENSMUSG00000034994	Eef2
ENSMUSG00000034997	Htr2a
ENSMUSG00000035027	Map2k2
ENSMUSG00000035042	Ccl5
ENSMUSG00000035126	Dnai4
ENSMUSG00000035165	Kcne3
ENSMUSG00000035283	Adrb1
ENSMUSG00000035296	Sgcg
ENSMUSG00000035299	Mid1
ENSMUSG00000035407	Kank4
ENSMUSG00000035441	Myo1d
ENSMUSG00000035455	Fignl1
ENSMUSG00000035486	Plk5
ENSMUSG00000035852	Misp
ENSMUSG00000036006	Ripor2
ENSMUSG00000036073	Galt
ENSMUSG00000036144	Meox2
ENSMUSG00000036158	Prickle1
ENSMUSG00000036438	Calm2
ENSMUSG00000036570	Fxyd1
ENSMUSG00000036718	Micall2
ENSMUSG00000036751	Cox6b1
ENSMUSG00000036768	Kif15
ENSMUSG00000036777	Anln
ENSMUSG00000036856	Wnt4
ENSMUSG00000036893	Ehmt1
ENSMUSG00000037020	Wdr62
ENSMUSG00000037032	Apbb1
ENSMUSG00000037060	Cavin3
ENSMUSG00000037188	Grhl3
ENSMUSG00000037313	Tacc3
ENSMUSG00000037362	Ccn3
ENSMUSG00000037405	Icam1
ENSMUSG00000037411	Serpine1
ENSMUSG00000037519	Ppfia1
ENSMUSG00000037544	Dlgap5
ENSMUSG00000037552	Plekhg2
ENSMUSG00000037580	Gch1
ENSMUSG00000037624	Kcnk2
ENSMUSG00000037643	Prkci
ENSMUSG00000037679	Inf2
ENSMUSG00000037712	Fermt2
ENSMUSG00000037736	Limch1
ENSMUSG00000037759	Ptger2
ENSMUSG00000037820	Tgm2
ENSMUSG00000037868	Egr2
ENSMUSG00000037890	Wdr19
ENSMUSG00000037902	Sirpa
ENSMUSG00000037933	Bicd2
ENSMUSG00000037944	Ccr7
ENSMUSG00000038086	Hspb2
ENSMUSG00000038112	AW551984
ENSMUSG00000038155	Gstp2
ENSMUSG00000038235	F11r
ENSMUSG00000038239	Hrc
ENSMUSG00000038241	Cep250
ENSMUSG00000038260	Trpm4
ENSMUSG00000038473	Nos1ap
ENSMUSG00000038503	Mesd
ENSMUSG00000038530	Rgs4
ENSMUSG00000038650	Rnh1
ENSMUSG00000038668	Lpar1
ENSMUSG00000038670	Mybpc2
ENSMUSG00000038763	Alpk3
ENSMUSG00000038775	Vill
ENSMUSG00000038827	Abitram
ENSMUSG00000038859	Baiap2l1
ENSMUSG00000038943	Prc1
ENSMUSG00000038976	Ppp1r9b
ENSMUSG00000039103	Nexn
ENSMUSG00000039230	Tbcd
ENSMUSG00000039376	Synpo2l
ENSMUSG00000039615	Stub1
ENSMUSG00000039621	Prex1
ENSMUSG00000039637	Coro7
ENSMUSG00000039715	Dync2i2
ENSMUSG00000039781	Cep131
ENSMUSG00000039824	Myl6b
ENSMUSG00000039842	Mcph1
ENSMUSG00000039873	Neurl2
ENSMUSG00000039942	Ptger4
ENSMUSG00000039952	Dag1
ENSMUSG00000039959	Hip1
ENSMUSG00000039960	Rhou
ENSMUSG00000039977	Deup1
ENSMUSG00000040021	Lats1
ENSMUSG00000040037	Negr1
ENSMUSG00000040118	Cacna2d1
ENSMUSG00000040219	Ttc12
ENSMUSG00000040276	Pacsin1
ENSMUSG00000040287	Stac3
