gene_id	gmm	hdbscan	spectral	consensus	gene_symbol
ENSMUSG00000029422	10	0	2	0	Rsrc2
ENSMUSG00000049036	12	0	17	2	Tmem121
ENSMUSG00000029577	22	0	10	5	Ube3b
ENSMUSG00000040746	10	0	2	0	Rnf167
ENSMUSG00000020590	22	0	10	5	Snx13
ENSMUSG00000030263	1	0	5	4	Irag2
ENSMUSG00000038914	22	0	10	5	Dido1
ENSMUSG00000026878	17	0	7	8	Rab14
ENSMUSG00000030098	12	0	14	2	Grip2
ENSMUSG00000078908	1	0	0	3	Mon1b
ENSMUSG00000026407	8	0	16	12	Cacna1s
ENSMUSG00000020818	1	0	0	3	Mfsd11
ENSMUSG00000060038	1	0	0	3	Dhps
ENSMUSG00000020029	0	0	7	6	Nudt4
ENSMUSG00000024292	24	0	7	6	Cyp4f14
ENSMUSG00000111356	12	0	9	1	Rpl32l
ENSMUSG00000016831	10	0	2	0	Tox4
ENSMUSG00000024791	12	0	9	1	Cdca5
ENSMUSG00000028398	10	0	8	0	Dmac1
ENSMUSG00000022586	12	0	6	1	Ly6i
ENSMUSG00000056204	10	0	2	0	Pgpep1
ENSMUSG00000031986	1	0	0	3	Sprtn
ENSMUSG00000000244	12	0	4	1	Tspan32
ENSMUSG00000027519	10	0	2	0	Rab22a
ENSMUSG00000061086	12	0	4	1	Myl4
ENSMUSG00000056290	1	0	5	4	Ms4a4b
ENSMUSG00000068206	10	0	1	0	Pick1
ENSMUSG00000021208	1	0	5	4	Ifi27l2b
ENSMUSG00000024998	10	0	2	0	Plce1
ENSMUSG00000047248	1	0	1	3	C2cd3
ENSMUSG00000027981	1	0	1	3	Rnpc3
ENSMUSG00000039683	12	0	4	1	Sdk1
ENSMUSG00000047117	12	0	17	2	Ankdd1b
ENSMUSG00000030278	1	0	5	4	Cidec
ENSMUSG00000037419	1	0	0	3	Endod1
ENSMUSG00000022208	12	0	6	1	Jph4
ENSMUSG00000064823	12	0	4	1	Snord82
ENSMUSG00000095629	12	0	15	2	Vmn1r89
ENSMUSG00000034829	12	0	3	1	Nxnl1
ENSMUSG00000029380	10	0	0	0	Cxcl1
ENSMUSG00000028047	12	0	13	2	Thbs3
ENSMUSG00000039196	6	0	11	9	Orm1
ENSMUSG00000032673	10	0	2	0	Prorsd1
ENSMUSG00000022773	12	0	4	1	Ypel1
ENSMUSG00000078597	12	0	3	1	Cyp4a12b
ENSMUSG00000021494	10	0	8	0	Ddx41
ENSMUSG00000050248	1	0	18	10	Evc2
ENSMUSG00000003752	1	0	0	3	Itpkc
ENSMUSG00000037353	1	0	1	3	Letmd1
ENSMUSG00000022096	1	0	13	4	Hr
ENSMUSG00000021661	1	0	0	3	Ankra2
ENSMUSG00000039620	12	0	12	2	Trmt9b
ENSMUSG00000033765	12	0	3	1	Calm4
ENSMUSG00000032584	12	0	12	2	Mst1r
ENSMUSG00000072884	12	0	12	2	Gm10433
ENSMUSG00000066896	12	0	3	1	Or7e178
ENSMUSG00000032783	12	0	9	1	Troap
ENSMUSG00000029093	12	0	14	2	Sorcs2
ENSMUSG00000030254	1	0	12	4	Rad18
ENSMUSG00000021090	12	0	9	1	Lrrc9
ENSMUSG00000055013	10	0	8	0	Agap1
ENSMUSG00000038204	15	0	18	10	Asb10
ENSMUSG00000020629	22	0	2	7	Adi1
ENSMUSG00000030881	1	0	0	3	Arfip2
