feature_index	feature	cohort	age	flt_profile	gc_profile	flt_animal_number	gc_animal_number	directly_flagged_profile
5	ISS-T_OLD_rep06	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI16	RR8_LVR_GC_ISS-T_OLD_GI16	16	16	RR8_LVR_FLT_ISS-T_OLD_FI16
6	ISS-T_OLD_rep07	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI17	RR8_LVR_GC_ISS-T_OLD_GI17	17	17	RR8_LVR_FLT_ISS-T_OLD_FI17
18	ISS-T_YNG_rep09	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI9	RR8_LVR_GC_ISS-T_YNG_GI9	9	9	RR8_LVR_FLT_ISS-T_YNG_FI9
19	ISS-T_YNG_rep10	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI10	RR8_LVR_GC_ISS-T_YNG_GI10	10	10	RR8_LVR_FLT_ISS-T_YNG_FI10
20	LAR_OLD_rep01	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL3	RR8_LVR_GC_LAR_OLD_GL3	3	3	RR8_LVR_GC_LAR_OLD_GL3
22	LAR_OLD_rep03	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL7	RR8_LVR_GC_LAR_OLD_GL7	7	7	RR8_LVR_GC_LAR_OLD_GL7
23	LAR_OLD_rep04	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_GC_LAR_OLD_GL8	8	8	RR8_LVR_FLT_LAR_OLD_FL8
24	LAR_OLD_rep05	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL11	RR8_LVR_GC_LAR_OLD_GL11	11	11	RR8_LVR_FLT_LAR_OLD_FL11
25	LAR_OLD_rep06	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL15	RR8_LVR_GC_LAR_OLD_GL12	15	12	RR8_LVR_FLT_LAR_OLD_FL15
28	LAR_YNG_rep02	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL2	RR8_LVR_GC_LAR_YNG_GL2	2	2	RR8_LVR_FLT_LAR_YNG_FL2
29	LAR_YNG_rep03	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL5	RR8_LVR_GC_LAR_YNG_GL5	5	5	RR8_LVR_GC_LAR_YNG_GL5
34	LAR_YNG_rep08	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL18	RR8_LVR_GC_LAR_YNG_GL18	18	18	RR8_LVR_FLT_LAR_YNG_FL18
