tissue	term	short_label	reviewed_role	direction	study_balanced_effect	accessions_same_direction	accessions_opposite_direction	meta_fdr	maximum_leave_one_out_fdr	gene_support_fraction	mean_absolute_within_accession_score_correlation	evidence_tier	story_status	story_axis	literature_assessment	supporting_sources	interpretive_caution
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	complementary	lower_in_flight	-0.1601722002417713	8	2	0.0044896978886173	0.0339371739864806	0.2424242424242424	0.4428501465222145	indirect_spaceflight	core	immune_mechanical_coordination	Systemic spaceflight studies support diminished antigen-presentation capacity; liver-specific localization is untested.	Gridley 2015; da Silveira 2020	Likely sensitive to hepatic immune-cell abundance.
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	aligned	lower_in_flight	-0.1006466682984334	9	1	0.0564320863793911	0.1185515377091535	0.0	0.3330960994872963	direct_tissue_spaceflight	core	metabolic_homeostasis	Spaceflight liver studies directly report inhibition of insulin-related signaling and metabolic dysfunction.	Mathyk 2024; Beheshti 2019	The Reactome term does not imply that hepatocytes secrete insulin.
liver	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	complementary	lower_in_flight	-0.096550787164733	9	1	0.000789617412596	0.00722134554184	0.2941176470588235	0.42518977259715	indirect_spaceflight	core	immune_mechanical_coordination	The lower score coheres with immune dysfunction but probably reports resident or infiltrating lymphocytes rather than hepatocytes.	da Silveira 2020; Gridley 2015	Treat MHC II and TCR as one immune-composition axis, not two independent mechanisms.
liver	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	context_sensitive	lower_in_flight	-0.1103106972647077	7	3	0.0282310750974464	0.0888317263479859	0.048780487804878	0.3666045011880051	direction_ambiguous	not_core	immune_mechanical_coordination	Prior work supports hepatic ECM remodeling but does not establish a uniform lower organization direction.	Jonscher 2016; Grandke 2026	Seven of ten independent cohort sources agree and gene support is weak; retain as context-sensitive.
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	context_sensitive	higher_in_flight	0.0290829136878514	6	4	0.6490251816517985	0.9307811924460208	0.05	0.26759815225840283	direction_conflict	not_core	metabolic_homeostasis	A compensatory increase is possible, but direct flight data show lower hepatic GSH pools and glutathione reducibility.	Kurosawa 2021; Jonscher 2016	Heterogeneous accession direction and weak gene support preclude a clear complementary claim.
liver	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	complementary	lower_in_flight	-0.1305615628553439	9	1	0.0057251390803909	0.0316035820212012	0.0634920634920634	0.5282940407608933	process_supported	supporting	immune_mechanical_coordination	Recent work supports hepatic mechanotransduction in spaceflight, but Rho-family causality was not tested.	Li 2026; Jonscher 2016	Use the broader term cytoskeletal-mechanical regulation.
skin	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	aligned	lower_in_flight	-0.196829532122068	5	1	0.0919252699310968	0.4893989535288366	0.0579710144927536	0.9031514807201697	direct_tissue_spaceflight	core	communication_barrier_maintenance	Human spatial skin data directly report lower junctional and barrier transcripts after flight.	Park 2024; Cope 2024	Mouse bulk composition and human post-flight sampling differ from the present contrasts.
skin	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	complementary	lower_in_flight	-0.4075693501595991	4	2	0.1759027282024568	0.5386095642542073	0.1764705882352941	0.9040729885628291	process_supported	core	communication_barrier_maintenance	Flight and microgravity studies support disrupted cell adhesion and wound-cell communication, though not this exact Reactome term.	Park 2024; Zhao 2025; Chen 2023	Gap-junction trafficking is a specific hypothesis within a broader communication phenotype.
skin	R-MMU-6805567_KERATINIZATION	Keratinization	aligned	lower_in_flight	-1.220864622405193	5	1	0.0965949315262795	0.4893989535288366	0.1857142857142857	0.9009921536955915	direct_tissue_spaceflight	core	communication_barrier_maintenance	Lower filaggrin and CASP14 in most murine skin subsets directly support reduced cornified-barrier differentiation.	Cope 2024; Neutelings 2015	The RR-5 dorsal recovery group reverses direction, and individual keratin genes can differ by compartment.
skin	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	context_sensitive	lower_in_flight	-0.2548713580596757	5	1	0.0919252699310968	0.4893989535288366	0.0344827586206896	0.8681088777410265	direction_ambiguous	not_core	communication_barrier_maintenance	The broad phase-II node is lower, but its fully nested glutathione-conjugation child is higher, so a uniform detoxification direction is not identifiable.	Mao 2014	Retain as context-sensitive; neither latent node is a direct enzyme-activity, glutathione-abundance, or metabolite-flux measurement.
skin	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	complementary	lower_in_flight	-0.6630485382809012	4	2	0.1260726325996702	0.4946250928234764	0.0454545454545454	0.9086142556032977	direct_process_spaceflight	supporting	communication_barrier_maintenance	Mouse flight skin shows epigenetic plasticity, but not a validated global decrease in chromatin-modifier activity.	Sarkar 2024; Cope 2024	Direction and functional consequence are unresolved.
skin	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	complementary	lower_in_flight	-0.2357627724753543	5	1	0.0919252699310968	0.4893989535288366	0.1666666666666666	0.8745675308159179	tissue_mechanism_only	supporting	communication_barrier_maintenance	Flight changes hair cycling, and Hedgehog is required for follicular regeneration, but flight-specific Hedgehog activity was not measured.	Neutelings 2015; Lim 2018	This is a regenerative-niche hypothesis, not direct pathway confirmation.
skin	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	complementary	lower_in_flight	-0.1943057259062245	4	2	0.1651648685137424	0.5172621400681979	0.1071428571428571	0.887901639960902	tissue_mechanism_only	supporting	communication_barrier_maintenance	Sphingolipids are required for epidermal permeability, but skin-specific flight direction has not been independently established.	Holleran 1991; Lyu 2022; Cope 2024	Do not equate this score with measured ceramide abundance.
soleus	R-MMU-73894_DNA_REPAIR	DNA repair	complementary	higher_in_flight	0.1401184675925924	3	0	0.2868335420539492	0.6840772447826406	0.0681818181818181	0.755694922718301	indirect_spaceflight	exploratory	matrix_damage_response	Radiation and oxidative stress make DNA repair plausible, but soleus-specific validation is absent.	Gambara 2017; Tascher 2017	Only three accessions, modest effect after restriction, and weak gene support.
soleus	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	Glycosaminoglycan metabolism	complementary	lower_in_flight	-0.1173810345407407	3	0	0.2398430378989996	0.7796261380357679	0.0256410256410256	0.6807709569603716	tissue_mechanism_only	exploratory	matrix_damage_response	Glycosaminoglycans are matrix components, but direct soleus spaceflight evidence for this pathway is absent.	Murgia 2024	Only three accessions and minimal gene support.
soleus	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Extracellular matrix degradation	complementary	higher_in_flight	0.1676931753703702	3	0	0.413389732365466	0.84717025441062	0.0333333333333333	0.8255323572589905	direct_process_spaceflight	supporting	matrix_damage_response	Human soleus and muscle proteomics support ECM loss or remodeling after flight.	Gambara 2017; Tascher 2017; Salanova 2023; Murgia 2024	Pathway-member gene support is sparse and opposite-direction genes are present.
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	complementary	lower_in_flight	-1.0068827600368422	5	0	0.0010433660093236	0.0250628891359118	0.3064516129032258	0.8664359541089067	process_supported	core	adaptive_proliferative_niche	Spaceflight thymus shows DNA fragmentation and stress, but lower repair capacity was not directly measured.	Gridley 2013; Horie 2019	Interpret as a reduced repair-associated state, not proof of defective repair kinetics.
thymus	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	complementary	higher_in_flight	0.431807671177193	5	0	3.7020523099467865e-06	9.483476813950088e-05	0.2956521739130435	0.7825161989099024	direct_process_spaceflight	core	innate_stromal_counterresponse	Spaceflight tissue adaptation converges on ECM and developmental regulation, supporting a stromal response.	Grandke 2026; Horie 2019	Higher organization score does not establish fibrosis or increased matrix mass.
thymus	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	complementary	higher_in_flight	0.3124392548473684	5	0	2.5102236663170564e-14	1.687361422845736e-07	0.2307692307692307	0.676681605832744	indirect_spaceflight	core	innate_stromal_counterresponse	The direction is exceptionally consistent, but direct thymus-specific TLR validation is absent.	Shimizu 2023; Okamura 2024	Treat as an innate counter-response hypothesis rather than established inflammation.
thymus	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	complementary	lower_in_flight	-0.5009776116961403	5	0	6.236849245654875e-08	0.000573772977469	0.2151898734177215	0.8358663552378692	tissue_mechanism_only	core	adaptive_proliferative_niche	Thymocyte development requires stromal contact and migration; direct spaceflight validation is lacking.	Horie 2019; Savino 2000	Cannot distinguish weaker interaction state from loss of interacting cell populations.
thymus	R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	aligned	lower_in_flight	-1.438332769986316	5	0	0.0010390849822512	0.0272618194164077	0.4228187919463087	0.8518595667177354	direct_tissue_spaceflight	core	adaptive_proliferative_niche	Lower proliferation is directly established in two flight cohorts and is the anchor phenotype.	Horie 2019; Gridley 2013	A lower bulk score can also reflect fewer proliferating thymocytes.
thymus	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	aligned	lower_in_flight	-0.2550683513754384	4	1	0.0091533711858047	0.154736064241441	0.15625	0.7097182311747993	direct_process_spaceflight	core	adaptive_proliferative_niche	Altered thymic T-cell signaling and reduced thymic output support the lower adaptive score.	Lebsack 2010; Horie 2019	Bulk abundance of developing T cells can drive this score.
thymus	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	complementary	lower_in_flight	-0.812444811658421	5	0	0.0144578850217605	0.0691771134300745	0.3265306122448979	0.7418447559221253	tissue_mechanism_only	supporting	adaptive_proliferative_niche	RHOA is biologically compatible with thymocyte movement and adhesion but was not directly tested in flight thymus.	Savino 2003; Horie 2019	Use as support for the niche-coordination axis, not as an independent mechanism.
