tissue	term	screen_display_label	candidate_reason	absolute_effect_rank_active	within_tissue_magnitude_percentile	mean_accession_effect	primary_direction_accessions	primary_direction_agreement	sensitivity_analysis	sensitivity_effect	sensitivity_direction_preserved	sensitivity_magnitude_ratio	meta_fdr	maximum_leave_one_out_fdr	pathway_genes_measured	pathway_genes_pooled_fdr_lt_005	pathway_gene_support_fraction	significant_genes_same_direction	significant_genes_opposite_direction	opposite_nested_program	opposite_nested_terms	maximum_opposite_nested_overlap_coefficient	family_id	process_family	family_literature_role	family_narrative_decision	family_representative	pathway_review_disposition	family_synthesis	family_supporting_references	family_caution	curated_for_main_figures	evidence_role
liver	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Cytochrome P450	top_decile_magnitude;prespecified_main_review	1.0	1.0	0.2391881175291052	5	0.5	original 12-accession input	0.2081997084929057	True	0.8704433591588063	0.2154712923556723	0.4629773307623202	45	5	0.1111111111111111	2	3	False			xenobiotic_redox	Xenobiotic and redox metabolism	context_sensitive	existing_context	True	representative	Known hepatic xenobiotic biology is recovered, but CYP, biological-oxidation, drug-specific ADME, and glutathione terms do not define one uniform direction.	17;19;20	CYP directions split by cohort, prednisone is exposure-specific, and glutathione score does not measure hepatic glutathione abundance.	True	context_sensitive
liver	R-MMU-168256_IMMUNE_SYSTEM	Immune System	top_decile_magnitude	2.0	0.9971098265895952	-0.2006165210753361	7	0.7	original 12-accession input	-0.1549859140283728	True	0.7725481091867407	0.042694776488518	0.1209084643733875	484	52	0.10743801652892562	47	5	True	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	1.0	immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	False	
liver	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	Toll Like Receptor 4 TLR4 Cascade	top_decile_magnitude;stable_rank_40_extension	3.0	0.9942196531791908	0.1945450405277786	9	0.9	original 12-accession input	0.1787398999683437	True	0.9187584504001882	0.0194415601639683	0.0709018470199098	26	1	0.038461538461538464	0	1	True	R-MMU-168256_IMMUNE_SYSTEM;R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	1.0	toll_like	Toll-like receptor branches	context_sensitive	supplement_only	True	representative	The TLR4-specific node is higher while the broad Toll-like-receptor node is lower, so the expanded screen does not support a pathway-wide TLR direction.	18;22	The TLR4 genes are fully nested within the broad TLR set; opposite latent directions may reflect branch allocation or correlated-decoder competition rather than selective pathway activation.	False	
liver	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	Copi Dependent Golgi To ER Retrograde Traffic	top_decile_magnitude	4.0	0.9913294797687862	-0.1661229688215915	7	0.7	original 12-accession input	-0.1061576853296548	True	0.6390307498276372	0.175042683908158	0.349681951208924	26	3	0.11538461538461539	0	3	False			trafficking_proteostasis	Organelle trafficking and proteostasis	context_sensitive	supplement_only	True	representative	Lower COPI trafficking contrasts with higher mitochondrial-protein degradation and neddylation scores, providing no coherent family-wide direction.	22	These broad latent programs overlap many cell types and are not direct measurements of organelle flux or protein turnover.	False	
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	top_decile_magnitude;stable_rank_40_extension;prespecified_main_review	5.0	0.9884393063583816	-0.1601722002417713	8	0.8	original 12-accession input	-0.1250478472275798	True	0.7807088061400593	0.0044896978886173	0.0339371739864806	33	8	0.24242424242424243	5	3	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	True	representative	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	True	complementary
liver	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	Neutrophil Degranulation	top_decile_magnitude;stable_rank_40_extension	6.0	0.9855491329479767	-0.1601151846389159	8	0.8	original 12-accession input	-0.1218518382201022	True	0.761026123130649	0.0061835145235545	0.0308383586810607	182	16	0.08791208791208792	15	1	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	False	
liver	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES	Metabolism Of Steroid Hormones	top_decile_magnitude	7.0	0.9826589595375722	0.1512613271602796	7	0.7	original 12-accession input	0.1445919111451388	True	0.9559079895677912	0.0225085198866726	0.0837209635307851	14	1	0.07142857142857142	0	1	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Cell Surface Interactions At The Vascular Wall	top_decile_magnitude	8.0	0.9797687861271676	-0.1484330415392139	7	0.7	original 12-accession input	-0.1163716033526405	True	0.7840006655249786	0.0129499733113718	0.0565196374453548	54	5	0.09259259259259259	5	0	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	False	
liver	R-MMU-166658_COMPLEMENT_CASCADE	Complement Cascade	top_decile_magnitude;stable_rank_40_extension	9.0	0.976878612716763	-0.1419756862913049	8	0.8	original 12-accession input	-0.0999327164143529	True	0.7038720433392485	0.0336391887001492	0.103856535480384	29	1	0.034482758620689655	1	0	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	False	
liver	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	top_decile_magnitude;stable_rank_40_extension;prespecified_main_review	10.0	0.9739884393063584	-0.1305615628553439	9	0.9	original 12-accession input	-0.1028774743186235	True	0.787961418879513	0.0057251390803909	0.0316035820212012	126	8	0.06349206349206349	7	1	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	True	representative	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	True	complementary
