id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-137	Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data	RR-3	18	18	1.0	Liver (18)	liver (18)	liver (18)	True	19	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
OSD-164	Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice	RR-1	4	4	1.0	Liver (4)	liver (4)	liver (4)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
OSD-168	RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins	RR-1, RR-3	52	52	1.0	Liver (52)	liver (52)	liver (52)	True	52	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
OSD-173	STS-135: Mouse Liver Transcriptomics using RNA-Seq	BSP135	6	6	1.0	Liver (6)	liver (6)	liver (6)	True	6	https://osdr.nasa.gov/bio/repo/data/studies/OSD-173	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-173
OSD-235	Transcriptomic analysis of liver from mice subjected to simulated spaceflight euthanasia, freezing, and tissue preservation protocols		75	75	1.0	Left Lobe of the Liver (75)	liver (75)	liver (75)	True	75	https://osdr.nasa.gov/bio/repo/data/studies/OSD-235	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-235
OSD-242	Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis	RR-9	23	23	1.0	Liver (23)	liver (23)	liver (23)	True	23	https://osdr.nasa.gov/bio/repo/data/studies/OSD-242	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-242
OSD-245	Transcriptional analysis of liver from mice flown on the RR-6 mission	RR-6	59	59	1.0	Liver (59)	liver (59)	liver (59)	True	59	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245
OSD-273	Transcriptional analysis of livers from mice preserved with the Rapid Freeze hardware		62	62	1.0	liver (62)	liver (62)	liver (62)	True	62	https://osdr.nasa.gov/bio/repo/data/studies/OSD-273	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-273
OSD-294	Efficient Identification of Multiple Pathways: RNA-Seq Analysis of Livers from 56Fe Ion Irradiated Mice	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	30	30	1.0	Left Lobe of the Liver (30)	liver (30)	liver (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-294	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-294
OSD-322	Comparative RNA-Seq transcriptome analyses reveal dynamic time dependent effects of 56Fe, 16O, and 28Si irradiation on the induction of murine hepatocellular carcinoma	Heavy_Ion_HZE_Irradiation, Low_Dose_Irradiation, High_LET_Irradiation	60	60	1.0	Left lobe of liver (60)	liver (60)	liver (60)	True	60	https://osdr.nasa.gov/bio/repo/data/studies/OSD-322	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-322
OSD-379	Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1)	RRRM-1 (RR-8)	141	141	1.0	Left Lobe of the Liver (141)	liver (141)	liver (141)	True	141	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
OSD-457	Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space flight	MHU-3	24	24	1.0	Liver (24)	liver (24)	liver (24)	True	192	https://osdr.nasa.gov/bio/repo/data/studies/OSD-457	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-457
OSD-463	Transcriptional profiling of livers from mice flown on the RR-23 mission	RR-23	31	31	1.0	Left Lobe of the Liver (31)	liver (31)	liver (31)	True	31	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463
OSD-47	Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data	RR-1	11	11	1.0	Liver (11)	liver (11)	liver (11)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
OSD-48	Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data	RR-1	14	14	1.0	Liver (14)	liver (14)	liver (14)	True	32	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
OSD-49	Multi-omic investigations of mouse liver subjected to simulated spaceflight freezing and storage protocols		9	9	1.0	Liver (9)	liver (9)	liver (9)	True	10	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
OSD-686	Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis	MHU-2	9	9	1.0	Liver (9)	liver (9)	liver (9)	True	9	https://osdr.nasa.gov/bio/repo/data/studies/OSD-686	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-686
