review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
1	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	FLT_down	orange_uncertain_no_direct_support	Spaceflight stress and inflammation make MAPK relevant, but direct liver evidence does not support a decreased MAPK pathway score.	Uncertain/conflicting: FLT_down does not match the simple stress-activation interpretation of MAPK signaling.	medium	MAPK remains biologically plausible, but the corrected decrease weakens direction-specific support.	daSilveira2020;Vinken2022
2	R-MMU-202403_TCR_SIGNALING	FLT_down	blue_plausible_complementary	Spaceflight studies report T-cell dysfunction and redistribution, making reduced TCR signaling biologically plausible but not liver-specific.	Partially aligned: FLT_down fits impaired adaptive immune signaling.	medium	The direction is compatible with immune suppression, although the pathway likely reflects immune-cell composition rather than hepatocyte biology.	Gridley2009;Crucian2018;Kim2024
3	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	FLT_down	blue_plausible_complementary	Spaceflight liver work supports inhibited insulin signaling and hepatic insulin resistance, but insulin secretion is a pancreatic/endocrine label.	Partially aligned/off-context: FLT_down is closer to inhibited insulin biology, but the secretion term is not a primary liver program.	medium	The corrected decrease removes the prior direction conflict while leaving tissue-context uncertainty.	Mathyk2024;Vinken2022
4	R-MMU-212165_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	FLT_down	orange_uncertain_no_direct_support	Spaceflight omics supports epigenetic and transcriptional remodeling, but this broad term has no liver-specific direction.	Uncertain: FLT_down is compatible with broad remodeling but not directionally anchored.	low	The pathway is too generic to assign confident liver spaceflight alignment.	daSilveira2020;Ilangovan2024
5	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	FLT_down	orange_uncertain_no_direct_support	Spaceflight affects vascular, coagulation, immune, and sinusoidal biology, but this exact vascular-wall term lacks liver directional evidence.	Uncertain: FLT_down could reflect vascular remodeling or composition shifts, but direct liver support is weak.	medium	The corrected decrease is not a clear match to published liver spaceflight endpoints.	Houerbi2024;Vinken2022
6	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	FLT_down	red_conflict_or_artifact	Spaceflight immune dysregulation and liver injury literature more often support inflammatory cytokine/interleukin engagement than a uniform decrease.	Conflicting: FLT_down runs opposite the expected inflammatory interleukin activation signal.	medium	Interleukin signaling is relevant, but the corrected direction weakens alignment with prior inflammatory liver-spaceflight biology.	Crucian2018;Vinken2022;Kim2024
7	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_up	blue_plausible_complementary	Microgravity alters cytoskeleton and hepatocyte actin/SREBP mechanotransduction, making Rho-family signaling plausible.	Partially aligned: FLT_up fits cytoskeletal remodeling, but direct Rho-cycle direction in liver is indirect.	medium	Rho GTPases regulate actin and mechanotransduction, relevant to microgravity liver responses but not directly validated here.	Li2026;Kim2024
8	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	FLT_down	blue_plausible_complementary	Spaceflight can impair adaptive immune function and antigen-presentation programs, but liver-specific MHC-II direction is weak.	Partially aligned: FLT_down is plausible for suppressed antigen presentation or immune-cell redistribution.	medium	The corrected decrease is compatible with immune dysfunction, though still not liver-specific.	Gridley2009;Crucian2018;Kim2024
9	R-MMU-3000178_ECM_PROTEOGLYCANS	FLT_down	orange_uncertain_no_direct_support	Mouse liver spaceflight studies suggest injury and stellate remodeling, but they do not directly support reduced ECM proteoglycan signaling.	Uncertain: FLT_down does not match a straightforward profibrotic/ECM activation interpretation.	medium	ECM proteoglycans remain liver-relevant, but the corrected direction lacks direct support.	Jonscher2016;Friedman2008;Vinken2022
10	R-MMU-5576891_CARDIAC_CONDUCTION	FLT_up	red_conflict_or_artifact	No liver spaceflight literature supports cardiac conduction as a hepatic pathway label.	Off-context: FLT_up is likely model/pathway cross-talk or annotation noise rather than liver biology.	high	Cardiac conduction is tissue-incongruent for a liver HVG pathway review.	Vinken2022
11	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	FLT_down	red_conflict_or_artifact	Spaceflight liver injury and immune dysregulation support innate inflammatory signaling rather than reduced TLR4 pathway activity.	Conflicting: FLT_down runs opposite the expected innate inflammatory/TLR4 activation direction.	medium	TLR4 is a close liver-inflammation mechanism, but the corrected decrease is not directionally aligned.	Baqai2009;Crucian2018;Vinken2022
12	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	FLT_down	red_conflict_or_artifact	Hepatic oxidative and metabolic injury would more naturally support increased cell-death signaling than a decrease in this pathway.	Conflicting: FLT_down does not match the expected injury-associated cell-death direction.	medium	The exact NRAGE/NRIF/NADE pathway is indirect, but a decreased cell-death score is difficult to align with prior liver injury evidence.	Vinken2022;Blaber2017
13	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	FLT_down	blue_plausible_complementary	Spaceflight immune dysfunction can include altered or suppressed antigen presentation, but liver-specific MHC-I direction is not established.	Partially aligned: FLT_down is plausible as immune suppression or composition change.	medium	The corrected decrease fits an immune-dysfunction interpretation better than inflammatory activation, but remains indirect.	Crucian2018;Kim2024;daSilveira2020
14	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	FLT_down	orange_uncertain_no_direct_support	VEGFA/VEGFR2 fits vascular and repair biology downstream of hepatic stress, but direct liver direction is lacking.	Uncertain: FLT_down is not a clearly supported vascular-remodeling direction.	medium	The pathway is plausible, but the corrected decrease is not anchored in liver spaceflight literature.	Houerbi2024;Vinken2022
15	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	FLT_up	green_prior_aligned	Spaceflight multi-omics and immune studies identify interferon/innate immune pathway changes.	Aligned: FLT_up agrees with increased interferon-stimulated innate immune signaling in spaceflight contexts.	medium	IFN-stimulated antimicrobial genes are close to reported spaceflight innate immune and interferon changes.	daSilveira2020;Kim2024;Crucian2018
16	R-MMU-114604_GPVI_MEDIATED_ACTIVATION_CASCADE	FLT_down	orange_uncertain_no_direct_support	Spaceflight affects coagulation and platelets systemically, but GPVI is platelet-specific and lacks liver directional support.	Uncertain: FLT_down may reflect systemic hemostatic changes rather than hepatic pathway activity.	medium	The corrected direction does not resolve the weak tissue context.	Houerbi2024
17	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	FLT_up	orange_uncertain_no_direct_support	Short-duration spaceflight secretome data show coagulation changes, but platelet activation is systemic and not a direct liver HVG pathway.	Uncertain: FLT_up may reflect systemic hemostasis rather than liver pathway activity.	medium	The term is plausible at organism level but weak as a liver-specific pathway direction.	Houerbi2024
18	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	FLT_up	orange_uncertain_no_direct_support	Spaceflight broadly alters cellular stress responses, but the term is too generic for directional liver interpretation.	Uncertain: FLT_up is compatible with stress but not pathway-specific.	low	This pathway is a broad umbrella and cannot be tied to a specific prior liver direction.	daSilveira2020;Ilangovan2024
19	R-MMU-422475_AXON_GUIDANCE	FLT_up	red_conflict_or_artifact	No direct liver spaceflight prior supports axon guidance as a hepatic FLT-up pathway.	Off-context: FLT_up is likely a pathway annotation artifact unless driven by a validated non-neuronal submodule.	high	Axon guidance is primarily neurodevelopmental and not a supported liver spaceflight label.	Vinken2022
20	R-MMU-109581_APOPTOSIS	FLT_up	green_prior_aligned	Reviews and liver spaceflight studies report liver injury, oxidative stress, apoptosis, and senescence.	Aligned: FLT_up matches expected increased cell-death stress in spaceflight liver.	high	Apoptosis is a direct liver injury response under oxidative and metabolic spaceflight stress.	Vinken2022;Blaber2017
21	R-MMU-199991_MEMBRANE_TRAFFICKING	FLT_down	orange_uncertain_no_direct_support	Membrane trafficking is broad and lacks a direct liver spaceflight direction.	Uncertain: FLT_down is a generic trafficking signal.	low	The pathway is not specific enough for a literature-backed color.	Ilangovan2024
22	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	FLT_up	green_prior_aligned	Liver spaceflight studies report altered amino-acid, sulfur, and glutathione-related metabolism.	Aligned: FLT_up matches reported hepatic amino-acid and sulfur metabolic remodeling.	high	The liver is central for amino-acid metabolism, and spaceflight directly perturbs these pathways.	Kurosawa2021;Blaber2017;Vitry2022
23	R-MMU-8963899_PLASMA_LIPOPROTEIN_REMODELING	FLT_up	green_prior_aligned	Multiple mouse liver spaceflight studies support lipid and lipoprotein remodeling.	Aligned: FLT_up matches the canonical hepatic lipid/lipoprotein spaceflight response.	high	Plasma lipoprotein remodeling is tightly linked to liver lipid handling and reported spaceflight lipotoxicity.	Beheshti2019;Jonscher2016;Uruno2021
24	R-MMU-168256_IMMUNE_SYSTEM	FLT_up	green_prior_aligned	Spaceflight multi-omics consistently reports immune dysregulation, innate immunity, and chronic inflammation.	Aligned: FLT_up matches a broad immune/inflammatory spaceflight signature.	medium	The immune-system signal is broad but well supported as part of liver/systemic spaceflight response.	daSilveira2020;Crucian2018;Vinken2022
