left	right	left_genes	right_genes	intersection_genes	jaccard
GC8_all	GC8_not_FLT14	1173	1010	1010	0.8610400682011935
FLT14_all	FLT14_and_GC8	303	163	163	0.5379537953795379
FLT14_all	GC8_all	303	1173	163	0.12414318354912414
FLT14_and_GC8	GC8_all	163	1173	163	0.13895993179880647
FLT14_all	FLT14_not_GC8	303	140	140	0.46204620462046203
FLT14_all	GC8_not_FLT14	303	1010	0	0.0
FLT14_and_GC8	FLT14_not_GC8	163	140	0	0.0
FLT14_and_GC8	GC8_not_FLT14	163	1010	0	0.0
FLT14_not_GC8	GC8_all	140	1173	0	0.0
FLT14_not_GC8	GC8_not_FLT14	140	1010	0	0.0
