source	profile_id	accession	tissue	condition	_row_index	pc1	pc2
real	OSD-100/Mmus_C57-6J_EYE_FLT_Rep3_M25	OSD-100	eye	flight	2	0.594358027	-0.028171435
real	OSD-100/Mmus_C57-6J_EYE_GC_Rep1_M33	OSD-100	eye	ground_control	6	0.543917775	-0.055691123
real	OSD-101/Mmus_C57-6J_GST_FLT_Rep6_M28	OSD-101	skeletal_muscle	flight	17	0.0352873169	1.54533398
real	OSD-101/Mmus_C57-6J_GST_GC_Rep4_M36	OSD-101	skeletal_muscle	ground_control	21	0.053330861	1.47212577
real	OSD-102/Mmus_C57-6J_KDN_FLT_Rep4_M26	OSD-102	kidney	flight	27	-0.0748154819	-0.165797248
real	OSD-102/Mmus_C57-6J_KDN_GC_Rep5_M37	OSD-102	kidney	ground_control	34	-0.0119365873	-0.22656405
real	OSD-103/Mmus_C57-6J_Quad_FLT_Rep6_M28	OSD-103	skeletal_muscle	flight	41	0.00909601524	1.44907475
real	OSD-103/Mmus_C57-6J_Quad_GC_Rep3_M35	OSD-103	skeletal_muscle	ground_control	44	-0.0341901444	1.2637502
real	OSD-104/Mmus_C57-6J_SLS_FLT_Rep4_M26	OSD-104	skeletal_muscle	flight	51	-0.0448390059	0.880077362
real	OSD-104/Mmus_C57-6J_SLS_GC_Rep3_M35	OSD-104	skeletal_muscle	ground_control	56	-0.0985841751	0.744609475
real	OSD-105/Mmus_C57-6J_TA_FLT_Rep1_M23	OSD-105	skeletal_muscle	flight	60	-0.0983897671	1.08140242
real	OSD-105/Mmus_C57-6J_TA_GC_Rep2_M34	OSD-105	skeletal_muscle	ground_control	67	-0.0916278809	1.05376434
real	OSD-137/Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137	liver	flight	77	-0.594751358	-0.552933395
real	OSD-137/Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137	liver	ground_control	81	-0.638838172	-0.659180105
real	OSD-161/Mmus_BAL-TAL_ADR_FLT_Rep3_F4	OSD-161	adrenal_gland	flight	86	0.726109326	-0.297512561
real	OSD-161/Mmus_BAL-TAL_ADR_GC_Rep3_G4	OSD-161	adrenal_gland	ground_control	91	0.636246681	-0.303687274
real	OSD-162/Mmus_BAL-TAL_EYE_FLT_Rep4_F4	OSD-162	eye	flight	97	0.268088728	-0.269379854
real	OSD-162/Mmus_BAL-TAL_EYE_GC_Rep4_G5	OSD-162	eye	ground_control	102	0.451398253	-0.00973047316
real	OSD-163/Mmus_BAL-TAL_KDN_FLT_Rep4_F5	OSD-163	kidney	flight	107	-0.0590104721	-0.352456629
real	OSD-163/Mmus_BAL-TAL_KDN_GC_Rep3_G3	OSD-163	kidney	ground_control	112	-0.166686654	-0.21391663
real	OSD-164/Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-164	liver	flight	116	-0.621789992	-0.682950318
real	OSD-164/Mmus_C57-6T_LVR_GC_Rep2_G2	OSD-164	liver	ground_control	120	-0.688777924	-0.744034529
real	OSD-164/Mmus_C57-6T_SPL_FLT_Rep3_F3	OSD-164	spleen	flight	124	0.660081148	-0.190793723
real	OSD-164/Mmus_C57-6T_SPL_GC_Rep1_G1	OSD-164	spleen	ground_control	125	0.0827193335	-0.0755328238
real	OSD-168/Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	OSD-168	liver	flight	128	-0.685802102	-0.73943907
real	OSD-168/Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	OSD-168	liver	ground_control	134	-0.616489351	-0.614433408
real	OSD-168/Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	OSD-168	liver	flight	137	-0.456802189	-0.4597359
real	OSD-168/Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37	OSD-168	liver	ground_control	152	-0.570319235	-0.60728693
real	OSD-194/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10	OSD-194	retina	flight	164	1.01844525	-0.126943961
real	OSD-194/Mmus_BAL-TAL_RRTN_GC_Rep4_G10	OSD-194	retina	ground_control	168	0.923431754	-0.108141735
real	OSD-238/Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep1_F4	OSD-238	skin	flight	172	0.694726884	-0.113793485
real	OSD-238/Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep3_F8	OSD-238	skin	flight	180	0.549577236	0.0979321599
real	OSD-238/Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep3_G11	OSD-238	skin	ground_control	186	0.551297665	-0.14010112
real	OSD-239/Mmus_C57-6J_FSKN_FLT_uG_JC_Rep2_F9	OSD-239	skin	flight	194	0.763024211	-0.176802292
real	OSD-239/Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep1_F1	OSD-239	skin	flight	195	0.629018486	0.0429872684
real	OSD-239/Mmus_C57-6J_FSKN_GC_1G_JCwFOS_Rep2_G10	OSD-239	skin	ground_control	202	0.495591998	0.034696687
real	OSD-240/Mmus_BAL-TAL_DSKN_FLT_Rep2_F2	OSD-240	skin	flight	206	0.605695546	-0.188337579
real	OSD-240/Mmus_BAL-TAL_DSKN_FLT_Rep9_F9	OSD-240	skin	flight	213	0.662108779	-0.153933033
