analysis_scope	tissue	selected_arm	real_mean_balanced_accuracy	selected_mean_balanced_accuracy	real_mean_roc_auc	selected_mean_roc_auc	real_mean_average_precision	selected_mean_average_precision	generated_arm_eligible_all_metrics
canonical_tissue	thymus	guided_low_weight	0.7334280303030303	0.84375	0.8181818181818181	0.8873106060606061	0.8620404456355628	0.917947989922158	True
canonical_tissue	skeletal_muscle	guided_real_only	0.8605628654970761	0.9316520467836256	0.924342105263158	0.9605263157894736	0.9083946888983416	0.9454802773788612	True
canonical_tissue	kidney	guided_low_weight	0.6538461538461539	0.7067307692307693	0.6797337278106509	0.7707100591715976	0.6833000131398365	0.7985980444783848	True
canonical_tissue	spleen	real_plus_generated	0.5170454545454546	0.6477272727272727	0.5402892561983471	0.7035123966942148	0.5887612892841748	0.7490450266401047	True
canonical_tissue	skin	real_plus_generated	0.6707589285714286	0.7561383928571429	0.69140625	0.7678571428571429	0.7465904210795595	0.8084739202923813	True
canonical_tissue	lung	generated_only	0.6640625	0.7421875	0.6796875	0.830078125	0.6843229253385503	0.8325236829143079	True
canonical_tissue	retina	guided_low_weight	0.5874999999999999	0.7232142857142857	0.6196428571428572	0.7625	0.7556596304022775	0.8458045579828668	True
canonical_tissue	adrenal_gland	generated_only	0.78125	0.921875	0.90625	0.984375	0.9177083333333332	0.9875	True
skeletal_muscle_group	soleus	real_plus_generated	0.925	0.9625	0.98	0.98	0.9804166666666668	0.9864583333333332	True
skeletal_muscle_group	gastrocnemius	guided_low_weight	0.6041666666666666	0.6458333333333333	0.6458333333333333	0.75	0.7313492063492063	0.797718253968254	True
