tissue	selected_arm	best_generated_arm	prior_best_use_arm	prior_comparison_status	prior_test_n	real_mean_balanced_accuracy	selected_mean_balanced_accuracy	real_mean_roc_auc	selected_mean_roc_auc	real_mean_average_precision	selected_mean_average_precision	generated_arm_eligible_all_metrics	paired_repeats	mean_delta_balanced_accuracy	nonworse_rate_balanced_accuracy	strict_win_rate_balanced_accuracy	mean_delta_roc_auc	nonworse_rate_roc_auc	strict_win_rate_roc_auc	mean_delta_average_precision	nonworse_rate_average_precision	strict_win_rate_average_precision	all_metrics_nonworse_rate	all_metrics_strict_win_rate	stable_genes	core_intersection_genes	generated_supported_genes	exploratory_union_genes	stable_genes_real_fdr_0_05	stable_genes_real_loo_fdr_0_05	all_panel_genes_real_fdr_0_05	all_panel_genes_real_loo_fdr_0_05	reactome_fdr_0_05_core_intersection	reactome_fdr_0_05_generated_supported	reactome_fdr_0_05_exploratory_union	status	development_profiles	flight	ground_control	completed_repeats
adrenal_gland	generated_only	generated_only	NA	NA	NA	0.78125	0.921875	0.90625	0.984375	0.9177083333333332	0.9875	True	8	0.140625	1.0	0.75	0.078125	1.0	0.75	0.0697916666666666	1.0	0.75	1.0	0.5	18	7	5	6	3	0	22	0	3	4	0	complete	31	16.0	15.0	8.0
bone	guided_real_only	guided_real_only	NA	NA	NA	0.65625	0.734375	0.796875	0.828125	0.8584821428571429	0.8645833333333333	True	8	0.078125	1.0	0.375	0.03125	0.625	0.5	0.0061011904761904	0.5	0.5	0.5	0.25	14	0	0	14	0	0	0	0	0	0	5	complete	30	15.0	15.0	8.0
bone_marrow	generated_only	generated_only	NA	NA	NA	0.96875	1.0	1.0	1.0	1.0	1.0	True	8	0.03125	1.0	0.125	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	19	0	0	19	0	0	0	0	0	0	26	complete	20	10.0	10.0	8.0
brain	generated_only	generated_only	NA	NA	NA	0.6875	0.7395833333333334	0.7118055555555556	0.8020833333333334	0.7305893759018759	0.7884920634920635	True	8	0.0520833333333333	0.875	0.625	0.0902777777777778	0.875	0.75	0.0579026875901875	0.75	0.625	0.75	0.625	41	4	5	32	0	0	0	0	0	0	0	complete	45	22.0	23.0	8.0
brown_adipose_tissue	generated_only	generated_only	NA	NA	NA	1.0	1.0	1.0	1.0	1.0	1.0	True	8	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	19	0	0	19	0	0	0	0	0	0	2	complete	20	10.0	10.0	8.0
cecum	real_only	guided_low_weight	NA	NA	NA	0.875	0.875	0.9375	0.9375	0.9583333333333331	0.9583333333333331	False	8	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	19	0	0	19	0	0	0	0	0	0	0	complete	16	8.0	8.0	8.0
cerebellum	generated_only	guided_real_only	NA	NA	NA	0.5291666666666667	0.6020833333333333	0.6208333333333333	0.6958333333333333	0.7293876262626262	0.7643278018278018	True	8	0.0729166666666666	0.75	0.625	0.0749999999999999	0.625	0.625	0.0349401755651756	0.5	0.5	0.5	0.5	21	2	6	13	0	0	0	0	0	3	34	complete	44	23.0	21.0	8.0
colon	real_only	guided_low_weight	NA	NA	NA	0.65625	0.65625	0.6770833333333334	0.6770833333333334	0.7295642436267435	0.7295642436267435	False	8	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	30	9	4	17	0	0	0	0	29	34	25	complete	45	23.0	22.0	8.0
eye	generated_only	generated_only	NA	NA	NA	0.59375	0.78125	0.5625	0.78125	0.7291666666666666	0.8645833333333333	True	8	0.1875	0.75	0.625	0.21875	0.875	0.625	0.1354166666666666	0.875	0.625	0.75	0.5	24	3	8	13	2	0	8	0	0	0	0	complete	18	9.0	9.0	8.0
heart	generated_only	generated_only	NA	NA	NA	0.59375	0.71875	0.625	0.75	0.6422919672919672	0.7780438311688311	True	8	0.125	0.875	0.625	0.125	0.875	0.875	0.1357518638768638	0.875	0.875	0.875	0.625	21	1	4	16	0	0	4	0	0	2	0	complete	42	21.0	21.0	8.0
hippocampus	generated_only	generated_only	NA	NA	NA	0.6979166666666666	0.703125	0.7395833333333334	0.78125	0.8488839285714286	0.8640625	True	8	0.0052083333333333	0.625	0.5	0.0416666666666666	0.5	0.5	0.0151785714285714	0.625	0.625	0.375	0.375	15	1	5	9	0	0	0	0	0	41	34	complete	30	16.0	14.0	8.0
