path	bytes	sha256
outputs/generative_benchmark/runs/lacan_diffusion/archs4_mouse_paper_parity_osdr_disjoint_seed1234/evaluation/summary.json	6492	ede436e6d51bb07cb9bc9ac45df70b58061ca26aaad358eae22e7495df2bd06f
outputs/generative_benchmark/runs/lacan_diffusion/archs4_mouse_paper_parity_osdr_disjoint_seed1234/run_summary.json	1975	924da9cb7c0c887bed277c7b18b18b829d23bb153445dba4abff2728e674a178
outputs/generative_benchmark/runs/lacan_diffusion/osdr_factorized_study_lora512_correlation_refine_seed2020/evaluation/final_locked_test/repeat_metrics.tsv	1284	2487c53f908ee7e74409cef93210264e90494c70f2ebf4e2ce4a2eef48d6ee2c
outputs/generative_benchmark/analyses/generated_feature_guidance_confirmation_disjoint_v1/tissue_results.tsv	599	45942f09fad42549e3076373598ec54acf3b24d9b00d012302d40123decb8d55
outputs/generative_benchmark/analyses/generated_feature_guidance_confirmation_disjoint_v1/genotype_subgroup_results.tsv	784	59541946b9d2dab886d8b9b0530b15ca78b22b4eea4d0df167c65b36ef84b501
outputs/generative_benchmark/analyses/generated_feature_guidance_confirmation_disjoint_v1/thymus/feature_stability.tsv	9624	8c8cd0610fe4eb59e08b526688579c1497e3aba399f344b69d9b868f1c878c8e
outputs/generative_benchmark/analyses/generated_feature_guidance_confirmation_disjoint_v1/thymus/reactome_enrichment.tsv	69010	18910370d7b73e00cda6ef441b3d2abc1a0fe88e2a9317c63fc87fe51e3fb2e0
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/tissue_arm_choices.tsv	840	ce0ec5bb25d1fdac666e7b1b09f10b127a9f6a6019a520ab595a061a7b026a16
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/paired_repeat_support.tsv	886	45534866f9a41703e5bca3339df26fbfe137875a00d0cf460c1bd178cc91aef4
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/stable_gene_sets.tsv.gz	7118	7b37a3e164bd0b85aee7a4c5ae275ca48f1000e081edda2c39639768e733cdfc
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/reactome_enrichment.tsv.gz	14603	78a3df9a0e815d86d42b2816e633592e724514ff0160408c3db30e5db1698c4c
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/real_accession_effects.tsv.gz	341534	858b8ec0fca1ab66ae5ed2ed278934ba0b03a5aa88c9eff4160a627f17abf82d
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_muscle_groups_v1/real_random_effects.tsv.gz	292567	9a9db15e4fa9d364547c1531d38a0b4ca6e526991f3b8c7c8edc6f4908105d05
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/tissue_arm_choices.tsv	3918	41d0293d1a0a7cdcf6bc4eb02a04612eaace33458edcfe133c6597db95fe3c4a
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/paired_repeat_support.tsv	2722	20218a38afe3ec01649bd828c6a5537a0befd3ec24502daec4eafd7d268783af
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/biological_support_summary.tsv	1462	c05cdb7f042237f85d898cee8e06891b08a3410be23005359aaa4ed67a4c76dd
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/stable_gene_sets.tsv.gz	31463	395333daedb6f38a1fd40dc6d5ab9ed6451f31e24d4f85d73a410d9982e6c6ec
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/real_accession_effects.tsv.gz	1961535	b1e6c5dd3ac9b8c8487227ccf01de4db44eb696510fbe61fef4faf2ddd3316e9
outputs/generative_benchmark/analyses/within_study_generated_feature_stability_v1/real_random_effects.tsv.gz	876313	ffb35e47e6225192f8084f88c18e738ea1c7429d9430b5153afbb8a713907ccb
data/diffusion/l974_mouse_paper_parity.tsv	95775	16566b0a9f882cc91d0497cfc2eb6e66687af519539d2c227ef5d749c28deee0
outputs/generative_benchmark/runs/vinas_wgan_gp/osdr_matched_study_conditioned_seed2020/evaluation/matched_validation/summary.json	99277	b15d4ba47caf8ec971d1886bd73c0179ab04e28c794c8e4ccf5468b276da05b1
outputs/generative_benchmark/runs/genejepa/matrix_phase_0_genejepa_exact_mouse_one_epoch_f2e01cf1f130d5cb/figures/archs4_tissues_validation/summary.json	1894	85996ea900d9674dc58d5b3b896f389f54d3228754f2dbd374c8add182668adc
