tissue	outer_folds	accessions	profiles	inner_gate_passed_folds	promising_by_predeclared_rule	baseline_balanced_accuracy	deployed_balanced_accuracy	delta_balanced_accuracy	baseline_roc_auc	deployed_roc_auc	delta_roc_auc	baseline_average_precision	deployed_average_precision	delta_average_precision
adrenal_gland	3	3	39	0	False	0.6259259259259259	0.6259259259259259	0.0	0.7038683127572017	0.7038683127572017	0.0	0.7559702437480215	0.7559702437480215	0.0
brain	3	4	57	2	False	0.5243055555555556	0.5486111111111112	0.0243055555555555	0.588695987654321	0.4849151234567901	-0.1037808641975308	0.6537660716845892	0.561275298222776	-0.0924907734618132
cerebellum	3	3	54	1	False	0.503968253968254	0.503968253968254	0.0	0.4613080540858318	0.4201557907113462	-0.0411522633744855	0.5608932272250494	0.549721939664873	-0.0111712875601763
heart	3	3	51	1	False	0.6	0.5666666666666667	-0.0333333333333333	0.4282407407407407	0.379074074074074	-0.0491666666666666	0.5565434969723935	0.5205714965918125	-0.035972000380581
kidney	3	6	133	1	False	0.4953216374269005	0.4953216374269005	0.0	0.3916598982022958	0.4214952891487979	0.0298353909465021	0.4962586388790652	0.5234485014855944	0.0271898626065291
liver	3	12	239	2	False	0.5656746031746032	0.562005708716235	-0.0036688944583681	0.658001476906552	0.5842848109029187	-0.0737166660036332	0.7312207337434938	0.6938936547130309	-0.0373270790304629
lung	3	3	76	2	True	0.447270955165692	0.5032894736842105	0.0560185185185185	0.432943469785575	0.5964619883040937	0.1635185185185186	0.5242681979028644	0.6045620399588324	0.080293842055968
retina	3	4	76	1	False	0.4407457729468599	0.426856884057971	-0.0138888888888888	0.3452348602484472	0.4071396221532091	0.0619047619047619	0.529952900306431	0.5622315938351246	0.0322786935286935
skeletal_muscle	3	13	185	2	True	0.6762820512820512	0.6912393162393162	0.014957264957265	0.7711301044634378	0.8263888888888891	0.0552587844254512	0.8049817773606175	0.8654789682876726	0.060497190927055
skin	3	6	151	2	True	0.5556397306397306	0.6322722842459686	0.076632553606238	0.5962834485202907	0.7058647882332091	0.1095813397129183	0.6763629352316244	0.7552345315493459	0.0788715963177215
spleen	3	6	108	1	False	0.5570601851851852	0.5167824074074073	-0.0402777777777778	0.668888888888889	0.6881018518518519	0.0192129629629629	0.7359128723274463	0.7492642819691785	0.0133514096417322
thymus	3	5	115	2	False	0.7751461988304095	0.7152046783625731	-0.0599415204678364	0.9023460551964708	0.8852031736260729	-0.0171428815703977	0.9082180917105012	0.9168555528525634	0.0086374611420622
