term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-9851695_EPIGENETIC_REGULATION_OF_ADIPOGENESIS_GENES_BY_MLL3_AND_MLL4_COMPLEXES	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight literature supports epigenetic and MSC adipogenic remodeling, but this term is indirect for thymus.	FLT_up is plausible epigenetic/stromal remodeling.	low	MLL3/MLL4 adipogenesis regulation is adjacent to altered MSC lineage biology, not direct thymus evidence.	Akiyama2020;Afshinnekoo2020	0.5068968220899468	0.2274434146714194	0.5068968220899468	0.9405745326589476	0.9405745326589476	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	blue_plausible_complementary	plausible/complementary	FLT_up	Proteostasis/organelle trafficking is plausible in spaceflight stress, but not directly thymus-directional.	FLT_up is plausible but indirect.	low	COPI traffic may track secretory and ER-Golgi stress in remodeled thymic cells.	DaSilveira2020;Afshinnekoo2020	0.8377131762412697	3.617106488366466e-08	0.8377131762412697	0.9291800423580702	0.9291800423580702	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	blue_plausible_complementary	plausible/complementary	FLT_up	Glycosylation can affect immune receptors/proteostasis, but thymus-spaceflight direction is indirect.	FLT_up is plausible but weak.	low	N-linked glycosylation may track secretory or immune-receptor remodeling.	DaSilveira2020;Afshinnekoo2020	0.3503661986640212	0.0014284265200912	0.3503661986640212	0.4391501264992983	0.4391501264992983	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-8951664_NEDDYLATION	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight causes DNA-damage and proteostasis stress, but neddylation is not directly resolved in thymus.	FLT_up is plausible as stress-response post-translational control; direction is indirect.	low	Neddylation could support damage/protein-turnover adaptation without direct thymus proof.	Afshinnekoo2020;Gridley2013	0.3969352938952382	2.1941773286903808e-11	0.3969352938952382	0.432087789265614	0.432087789265614	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	blue_plausible_complementary	plausible/complementary	FLT_up	Extracellular-matrix remodeling is plausible in thymic involution, but direction is indirect.	FLT_up is compatible with stromal remodeling.	medium	ECM organization can mark thymic structural remodeling under spaceflight stress.	Okamura2024;Akiyama2020	0.3646540354232803	0.0096471412748949	0.3646540354232803	0.431807671177193	0.431807671177193	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-168256_IMMUNE_SYSTEM	blue_plausible_complementary	plausible/complementary	FLT_up	Immune dysregulation is direct, but the broad immune-system term has mixed direction.	FLT_up is plausible but not specifically direction-aligned.	medium	Broad immune-system activation may combine innate activation with suppressed thymopoiesis.	Akiyama2020;Winer2025;Han2023	0.3235369783068784	0.0011143598269694	0.3235369783068784	0.3725581363859653	0.3725581363859653	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	blue_plausible_complementary	plausible/complementary	FLT_up	TGF-beta can connect ECM/stromal and immune remodeling, but thymus direction evidence is indirect.	FLT_up is plausible but not direct.	medium	TGF-beta receptor signaling may accompany thymic stromal remodeling under altered gravity.	Okamura2024;Akiyama2020	0.3468546198992064	0.000372803304979	0.3468546198992064	0.3532981958426315	0.3532981958426315	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-6798695_NEUTROPHIL_DEGRANULATION	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight alters innate myeloid/neutrophil function, but thymus degranulation direction is indirect.	FLT_up is plausible innate immune remodeling.	medium	Neutrophil degranulation may reflect innate infiltration or immune-composition change.	Akiyama2020;Winer2025	0.3208608539153441	0.0061676678613983	0.3208608539153441	0.3488187588192982	0.3488187588192982	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-1296071_POTASSIUM_CHANNELS	blue_plausible_complementary	plausible/complementary	FLT_up	Ion-channel remodeling is plausible under altered gravity, but potassium-channel direction is not direct.	FLT_up is plausible but weak.	low	Potassium channels may track activation or stress-state shifts rather than direct thymus evidence.	DaSilveira2020	0.2669315790566137	0.0064866044915069	0.2669315790566137	0.34831702943	0.34831702943	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight increases viral-reactivation risk and alters IFN pathways, but thymus ISG direction is mixed.	FLT_up is plausible antiviral stress, not direct.	medium	IFN-stimulated antimicrobial mechanisms fit immune stress but direct thymus direction is uncertain.	Winer2025;Gridley2009	0.3212629105084655	0.0014284265200912	0.3212629105084655	0.2977997148871052	0.2977997148871052	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal
