gene_id	length_bp	merged_exon_intervals	chromosomes
ENSMUSG00000000001	3415	9	chr3
ENSMUSG00000000003	920	7	chrX
ENSMUSG00000000028	4322	17	chr16
ENSMUSG00000000031	2848	2	chr7
ENSMUSG00000000037	7269	39	chrX
ENSMUSG00000000049	1995	10	chr11
ENSMUSG00000000056	8859	14	chr11
ENSMUSG00000000058	4296	3	chr6
ENSMUSG00000000078	4468	5	chr13
ENSMUSG00000000085	7798	19	chr4
ENSMUSG00000000088	4173	4	chr9
ENSMUSG00000000093	5137	7	chr11
ENSMUSG00000000094	4438	11	chr11
ENSMUSG00000000103	3107	10	chrY
ENSMUSG00000000120	3452	6	chr11
ENSMUSG00000000125	3146	5	chr11
ENSMUSG00000000126	3912	5	chr11
ENSMUSG00000000127	11981	25	chr17
ENSMUSG00000000131	25103	29	chr7
ENSMUSG00000000134	9329	7	chrX
ENSMUSG00000000142	6931	13	chr11
ENSMUSG00000000148	7546	11	chr5
ENSMUSG00000000149	4455	6	chr5
ENSMUSG00000000154	1866	13	chr7
ENSMUSG00000000157	4346	15	chr16
ENSMUSG00000000159	2942	13	chr16
ENSMUSG00000000167	3364	6	chr9
ENSMUSG00000000168	14586	15	chr9
ENSMUSG00000000171	2554	4	chr9
ENSMUSG00000000182	2698	3	chr6
ENSMUSG00000000183	4657	3	chr6
ENSMUSG00000000184	9409	7	chr6
ENSMUSG00000000194	16880	23	chr2
ENSMUSG00000000197	18019	48	chr14
ENSMUSG00000000202	6396	4	chr11
ENSMUSG00000000204	4415	8	chr11
ENSMUSG00000000214	7124	11	chr7
ENSMUSG00000000215	1660	8	chr7
ENSMUSG00000000216	3205	13	chr7
ENSMUSG00000000223	9234	24	chrX
ENSMUSG00000000244	6290	10	chr7
ENSMUSG00000000247	5284	7	chr2
ENSMUSG00000000248	2847	8	chr6
ENSMUSG00000000253	11539	17	chr13
ENSMUSG00000000263	2812	9	chr11
ENSMUSG00000000266	8446	10	chrX
ENSMUSG00000000275	5757	9	chr11
ENSMUSG00000000276	8517	12	chr11
