method	feature_type	scope	tissue	arm	gene	symbol	minimum_selection_frequency	minimum_coefficient_sign_agreement	real_selection_frequency	arm_selection_frequency	real_coefficient_sign_agreement	arm_coefficient_sign_agreement	real_stable	arm_stable	real_coefficient	arm_coefficient	coefficient_direction_match	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_real_positive_repeat_fraction	arm_synthetic_permutation_roc_auc	arm_synthetic_positive_repeat_fraction	arm_minus_real_permutation_roc_auc	pattern	selected_arm	generated_arm_eligible_all_metrics	analysis_scope	real_linear_shap_mean_absolute	real_linear_shap_flight_minus_ground	selected_linear_shap_mean_absolute	selected_linear_shap_flight_minus_ground	selected_arm_importance_rank	real_only_importance_rank	matched_statuses	matched_literature_classification	matched_interpretation	matched_primary	consensus_selection_status	consensus_literature_classification	consensus_interpretation	consensus_secondary	flt_gc_direction	meta_effect	meta_fdr	n_accessions
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000004951	Hspb1	0.5	0.75	1.0	1.0	1.0	1.0	True	True	-0.0543408803641796	-0.6082895994186401	True	0.0234375	0.08671875	0.75	0.0712239583333333	1.0	0.06328125	shared_reinforced	generated_only	True	canonical_tissue	0.112852250771447	0.1185841343279199	0.7260561761220654	0.8436625573746145	1.0	5.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000090877	Hspa1b	0.5	0.75	0.625	1.0	1.0	1.0	True	True	-0.3095391988754272	-0.3974513411521911	True	0.01125	0.076953125	0.75	0.0599392361111111	1.0	0.065703125	shared_reinforced	generated_only	True	canonical_tissue	0.2426959657272593	0.1197194729540854	0.6063033623076406	0.5011415088399152	2.0	11.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000023067	Cdkn1a	0.5	0.75	0.0	0.625	0.0	1.0	False	True	NA	0.3234620988368988	False	0.0	0.0475	0.6	0.0114583333333333	0.8	0.0475	synthetic_emergent_real_transfer	generated_only	True	canonical_tissue	NA	NA	0.3594183120008402	0.2570171336533186	6.0	21.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000003541	Ier3	0.5	0.75	0.0	0.875	0.0	1.0	False	True	NA	0.3826489150524139	False	0.0	0.0357142857142857	0.7142857142857143	0.015625	0.8571428571428571	0.0357142857142857	synthetic_emergent_real_transfer	generated_only	True	canonical_tissue	NA	NA	0.4933663642481506	0.0855164105503922	9.0	21.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000025511	Tspan4	0.5	0.75	0.875	1.0	1.0	1.0	True	True	-0.0466879233717918	-0.2572892904281616	True	0.0299107142857142	0.033984375	0.625	0.0131944444444444	0.875	0.0040736607142857	shared_reinforced	generated_only	True	canonical_tissue	0.0854316823802804	0.1332476012788174	0.2944603043158673	0.4404811541578076	11.0	2.0	NA	NA	NA	False	reinforced	unmatched	A literature-unmatched adrenal candidate; its statistical association does not by itself establish a mechanism.	True	FLT_lower	-0.0069320174967941	0.0168006876355464	3.0
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000037242	Clic4	0.5	0.75	0.875	0.5	1.0	1.0	True	True	-0.0547697655856609	-0.0851752310991287	True	0.0129464285714285	0.021875	0.5	-0.0032118055555555	0.5	0.0089285714285714	shared_reinforced	generated_only	True	canonical_tissue	0.0752196047458062	0.0620764608814213	0.2033705376857967	0.2752885165815613	17.0	10.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000037649	H2-DMa	0.5	0.75	1.0	0.375	1.0	1.0	True	False	-0.0560636445879936	-0.1021988242864608	True	0.029296875	0.0197916666666666	0.6666666666666666	0.0194444444444444	1.0	-0.0095052083333333	real_only	generated_only	True	canonical_tissue	0.1204812051862307	0.226117794093522	0.243494080787442	0.4168981019646853	19.0	3.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000024338	Psmb8	0.5	0.75	0.125	1.0	1.0	1.0	False	True	-0.2295744121074676	-0.2247413545846939	True	-0.021875	0.015625	0.375	0.0134548611111111	1.0	0.0375	synthetic_domain_only	generated_only	True	canonical_tissue	0.1132794281917848	0.1015759917509462	0.1577602049972106	0.1450492589706044	23.0	204.0	NA	NA	NA	False	promoted	unmatched	A biologically plausible immune, proteostasis, or composition candidate that remains unmatched in the searched adrenal spaceflight literature.	True	FLT_lower	-0.0037952402628091	0.0182849971007691	3.0
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000021457	Syk	0.5	0.75	1.0	0.375	1.0	1.0	True	False	-0.0604550391435623	-0.1287714391946792	True	0.0281249999999999	0.0135416666666666	0.6666666666666666	0.0297453703703703	1.0	-0.0145833333333333	real_only	generated_only	True	canonical_tissue	0.1334418498434629	0.2008706753062109	0.1563669953651021	0.21695258159493	29.0	4.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
conditional_DDIM_classifier	selected_gene_feature	tissue	adrenal_gland	generated_only	ENSMUSG00000004040	Stat3	0.5	0.75	0.25	0.75	0.0	1.0	False	True	-0.0180090274661779	-0.1404050290584564	True	0.0	0.0124999999999999	0.5	0.0167824074074074	0.8333333333333334	0.0124999999999999	synthetic_emergent_real_transfer	generated_only	True	canonical_tissue	0.0279270508978176	0.0025159231586653	0.2808733986970002	0.2479896516057041	31.0	21.0	NA	NA	NA	False	NA	NA	NA	False	NA	NA	NA	NA
