review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
1	R-MMU-195721_SIGNALING_BY_WNT	FLT_up	red_conflict_or_artifact	conflict_with_direct_soleus_marker	FLT_up conflicts with reported WNT receptor decrease	medium	Space-flown mouse soleus showed reduced Fzd9, a Frizzled/WNT receptor and NMJ marker, so broad WNT activation is not supported.	Gambara2017
2	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but not directly shown	low	G-protein signaling can interact with disuse, metabolism, and inflammatory pathways, but prior soleus spaceflight studies do not establish G alpha i up-regulation.	Chopard2009;Gambara2017
3	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	FLT_up	green_prior_aligned	aligned_direct	FLT_up aligns with ECM remodeling	medium	Human astronaut soleus proteomics found postflight ECM and basement-membrane enrichment, and unloading studies show collagen remodeling in antigravity soleus.	Murgia2024;Miller2001
4	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but weakly supported	low	Reduced vesicle-mediated transport could reflect altered membrane and proteostasis remodeling during atrophy, but direct soleus-spaceflight direction evidence is sparse.	Bonaldo2013;Tascher2017
5	R-MMU-109581_APOPTOSIS	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with atrophy literature	high	Apoptosis and cell-death programs are recognized contributors to disuse and spaceflight muscle wasting, so a flight decrease is opposite the dominant prior direction.	Tascher2017;Bonaldo2013
6	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	FLT_up	red_conflict_or_artifact	conflict_with_prior_direction	FLT_up conflicts with expected anabolic signaling decrease	high	Disuse atrophy is classically associated with reduced IGF/PI3K/Akt/mTOR signaling, and long-duration spaceflight reduced IGF-1 in soleus.	Chopard2009;Sandona2012;Bonaldo2013
7	R-MMU-109582_HEMOSTASIS	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	Modified loading can trigger vascular, complement, and inflammatory responses in muscle, but hemostasis itself has weak and non-directional soleus-spaceflight support.	Tidball2002;Frenette2000
8	R-MMU-5357801_PROGRAMMED_CELL_DEATH	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with atrophy literature	high	Programmed cell-death signaling is implicated in skeletal muscle atrophy and spaceflight proteome remodeling, so a flight decrease conflicts with the expected direction.	Tascher2017;Bonaldo2013
9	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but indirect	low	Endocytic trafficking could reflect membrane and receptor turnover during atrophy, but direct clathrin-mediated endocytosis up evidence in soleus flight studies is lacking.	Bonaldo2013;Tascher2017
10	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_down	blue_plausible_complementary	mixed_with_ecm_remodeling	FLT_down is plausible but not directly established	medium	Prior work supports ECM and collagen remodeling after unloading or spaceflight; lower ECM-degradation signal could fit net matrix accumulation, but degradation direction is not resolved.	Miller2001;Murgia2024
11	R-MMU-168256_IMMUNE_SYSTEM	FLT_up	green_prior_aligned	aligned_direct	FLT_up aligns with inflammatory response	high	Space-flown mouse soleus up-regulated inflammatory chemokines, and modified loading literature supports immune involvement in muscle remodeling.	Gambara2017;Tidball2002;Dumont2007
12	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down has no clear pathway-specific support	low	Spaceflight alters muscle metabolism broadly, but vitamin/cofactor metabolism direction is not specifically established for soleus unloading.	Gambara2017;Tascher2017
13	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	FLT_up	red_conflict_or_artifact	artifact_off_context	FLT_up is likely off-context	high	Cornified envelope formation is a skin barrier program; keratin-related protein annotations can appear in proteomics, but this pathway is not a credible soleus adaptation label.	Murgia2024
14	R-MMU-1640170_CELL_CYCLE	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but ambiguous	medium	Space-flown soleus shows myogenic reprogramming markers, but cell-cycle pathway activation could reflect nonmyofiber cells or arrest rather than direct myofiber proliferation.	Gambara2017;Bonaldo2013
15	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible for GPCR biology	low	This Reactome family mostly represents class A GPCRs, not only visual rhodopsin; GPCR signaling is plausible in stress and inflammatory remodeling, but direction evidence is weak.	Chopard2009;Gambara2017
16	R-MMU-194138_SIGNALING_BY_VEGF	FLT_down	blue_plausible_complementary	plausible_vascular_remodeling	FLT_down is plausible but context dependent	low	Unloading can remodel muscle vasculature and angiogenic programs; a lower VEGF signal could fit capillary regression, but direction varies with recovery and tissue context.	Chopard2009;Murgia2024
17	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up has no direct support	low	GPI-anchor biosynthesis is a specific membrane-PTM pathway without direct soleus microgravity direction evidence.	Gambara2017;Tascher2017
18	R-MMU-73894_DNA_REPAIR	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible under space stress	medium	Spaceflight combines unloading with oxidative and radiation stress, making DNA repair plausible, but skeletal-muscle-specific direction is indirect.	Murgia2024;Tascher2017
19	R-MMU-211859_BIOLOGICAL_OXIDATIONS	FLT_down	blue_plausible_complementary	plausible_broad_metabolic	FLT_down is plausible but broad	medium	Reduced biological-oxidation signal is compatible with impaired oxidative metabolism in flight muscle, but the Reactome term also covers heterogeneous detox/redox biology.	Murgia2024;Tascher2017;Gambara2017
20	R-MMU-6805567_KERATINIZATION	FLT_down	red_conflict_or_artifact	artifact_off_context	FLT_down remains off-context	high	Keratinization is a skin differentiation pathway and is not a credible soleus muscle response label regardless of observed direction.	Murgia2024
